uuid,latitude,longitude,stake_weight
NodeID-DEL66QYwAMzbqVRNPwX8TC189Vmpe4v73,0.0,0.0,1900000000000000
NodeID-3PJY4Rpb5BRR3xSUvuU5Dj3cyHcAmzfjD,0.0,0.0,48342467446189
NodeID-B8rRoKwovNH4Hv4cgREBqjHcGSCN5Lrcq,0.0,0.0,5734530917734
NodeID-NADMy6wreSfmNrbf5QrdgS64BCQsoP3D,0.0,0.0,2000000000000
NodeID-M9LeDgEaTfEN1qnEtLw3CXBwjh2VcGbeG,0.0,0.0,2052908810065
NodeID-BQsr3wEWirFH6C81M1LYsYagHXVxXRFSS,0.0,0.0,9243358423672
NodeID-AThE3ad1aiPLKsj1XfmhCsNbai8sMyPc,0.0,0.0,2000000000000
NodeID-AejE54hVtRxSm2e8KW4zUHpBTgHz9fpEw,0.0,0.0,9985444920565
NodeID-7wyu3EXASVzsJpRPoqhssRWdmTWa6Fycd,0.0,0.0,2705229889834518
NodeID-6FSSZuuLEZ4sHJZGfpY4Wuz8M3qnK6ec5,0.0,0.0,2002000000000
NodeID-Ha5u99aoKUdNdTdomp8bQcWHUw8PSF7em,0.0,0.0,2371395244886229
NodeID-Jm1k2q2WAkH99w4ZBEgzrmm6Kte39qCWJ,0.0,0.0,2347197558679
NodeID-5eFuL1vXb4NSxW4ZF16WZsJM3gyjS7i2Z,0.0,0.0,2005022768988
NodeID-Hv9Nr1V1VMTnFo9hGRjzN5AfhqkFQCbTj,0.0,0.0,472589790000000
NodeID-3v78ZFZqcZoS81rmhd6DBaesGk5tCwV6G,0.0,0.0,300000000000000
NodeID-FPzqAmcWBR9RZdNggUMtuyWwvuG2RkqrZ,0.0,0.0,3319098868600
NodeID-9W5RaY7LA6so9hGCPGfLezBXMnWNRQb8V,0.0,0.0,5071841462700
NodeID-AyByRGSrfbDaeW4njEYwCzhsnMyZ2KMcw,0.0,0.0,2093844608381
NodeID-3MxWMyBv6AJfE5cBbbft2j3rwrDCTqmLu,0.0,0.0,284266548076854
NodeID-CM5KJnEvKQfjFirjbUzHa7WbanH6dLHva,0.0,0.0,2318709205667
NodeID-2wWroHMggzJvKh6t3tdPtJTTP9DNmdc4K,0.0,0.0,9978172478174
NodeID-Hwo6hDmWvSH3rQGrxCoujGvsDWzC9NgyG,0.0,0.0,3178500000000
NodeID-2PZiqgTALZcdU1TUvQeypFARYEgjkQZPg,0.0,0.0,2000000000000
NodeID-PczCXQXPxNgeKy3P4jtAt1ycvrjvghVw1,0.0,0.0,10394655307483
NodeID-PsbShK9xL3ro54RmQuieZqqcpi7zRFSpx,0.0,0.0,68605090858561
NodeID-6QD1KNQkx6wj142Tv6demd3FYbghQvCM2,39.0437,-77.4875,18854558894959
