uuid,latitude,longitude,stake_weight
16Uiu2HAkvXgyV6YYsNn6zrApNLY35aseUYYu7k3BpWsiwEybAtJc,30.3,-97.7,1
16Uiu2HAmSJ2XW8ZXLy7rLZ4gUw3WQqoNbYqq8SmSnca6faAxUkpT,52.2,21,1
16Uiu2HAm12z4x2ivKEUpLwLgnFdVzTpdLBDRrE3pACNjwjDyupsu,37.3,-122,0.64
16Uiu2HAmCfpMePTmk7RnYQGXC8di8kRArt5bVmtrbmAPZQEPq5yx,50.1,8.6,1
16Uiu2HAkwXpPesgP14qrDwoh3WPmBkDKAH2uC31jWqwUMo2L7WN5,21,105.8,2
16Uiu2HAmJ2PkRnHBQwWrf2WUN7jzKAAa1dDpZWq5FGxmx7RUCAAb,54.7,25.3,1
16Uiu2HAmG1Se31CFmAHFbYmw2T9Yi6Jjd91GR2LE6MbvyRg1PztC,53,8.5,0.74
16Uiu2HAm8y3aNs9PrfcFXETyUvSKhHPrVr8KMbXMiwQBtoP82s7d,55.6,12.4,56.730000000000004
16Uiu2HAmLM8RUx8xQB6ch34r4fEywKPJt19XVgSA1b9bM8q4frCL,-27.5,153,1
16Uiu2HAm7dx47uqqjUafrXmCGjyi6wuQievNeVMTs5gNGPWMRQcv,40,-83,61
16Uiu2HAm42iMERasUbYzqo9BmxRRCq52GQjJkDRwgm88Vh1WkR24,37.3,-121.9,1
16Uiu2HAmFGx3szNo9mdBXfH5HfcKcUk6HkcSzptFFengp2YV8MTY,-33.5,-70.6,0.4
16Uiu2HAmBBYEyeNEUQp3w6HgnZeJ5sM41kWR9NgxpHVxwKDGxJb1,-41.4,147.1,1
16Uiu2HAmVSA8WGXDhfEqHx1B2Fsq1TKD5t3vrqyfPDAHC8d3AwVa,28,-82.5,2
16Uiu2HAmKA6c8o1dYqhSQ7Eg5GAU1KtT84TFGHDdp1D9XBDZwavi,38.7,-9.1,1
16Uiu2HAkwsZhGwe1w8asFDLqCno2333fJghGgrAUMCV95SW2RAYr,52.2,21.1,0.99
16Uiu2HAmKb5Ldnfa9gEh3ndoiJQQkBQF9x9UpHpg3HHYgQFvGECM,24.7,46.7,1
16Uiu2HAkyYy97CxGLp4Dtah3bVF2p8kBsLWmxpoUUcGVh9AivEDJ,35.7,139.7,0.75
16Uiu2HAm1DQGLfTPb3PpCTfwe3xtbxZ9H3R8A8jxRHdHoUfaj7KW,34.1,-118.3,1
16Uiu2HAm51TjKUPCjw7FmwB1R2uB84s33ia6L4AQDw6MKhsCwtrN,38,-78.5,1
16Uiu2HAmUieeojZ99j3vRtb5Hf36tdtHhnvxTMhP6fq2KtUa3n9K,24.7,46.7,1
16Uiu2HAm5EkLYfzzRRAnzivjZrJF6e7DoqjnU33uzp1DXnJLctuz,26.1,-80.1,1
16Uiu2HAkwZMbjvYZe4qorLzWGuEYoZMhTMsaqKASVuhyvc7XHVha,52.4,4.9,61
16Uiu2HAmQPAB7EZgmVet6JeyTBeMfBrB9bbXZw5tevCKmjgRLRg3,60.4,25,61
16Uiu2HAmH1TnhoweHWEvz9VsiR4Hje9RMEpJ96qUTHMAeZMUahtv,33.9,-118.4,1
16Uiu2HAm21LwAznduQJ8g5XjGXp3FEvwXex9KJp2fKy9j2rNvHc7,50.6,3.1,2
16Uiu2HAkxnxDF6QD2MBvk26ju6d2Df1vjsbyBD5jZUEpAkdYpabB,50.1,8.6,1
16Uiu2HAm718wp7j9mmLVEAN1bzdQq4xh68N97fh6RdgR7qC4fUUV,50.1,8.7,0.97
16Uiu2HAkxa5jyjeRwHWG5npKUQSZ1WWKcdgRMieu6MJBdcYECWzA,50.5,12.4,0.72
16Uiu2HAm3GBPNt1poXHhAP3PMFD4rFxF9Reu3xDRC7xKirw4iwvD,-37.8,145,1
16Uiu2HAmMpqRQdJNMuWc37Wcx1au2H354EvVJ6Ef4pf9Q9jruHLx,52.2,21.1,0.81
16Uiu2HAm6GbdNcMYaTx2jZsbv2cm1HnEfp6XjZz3VhASjZhDohiD,25.9,-97.5,1
16Uiu2HAmRLVfeuiZrcUzGkupxa8TGzgcuMLAYK7b7mgssk4jqHZ6,50.6,3.1,11.02
16Uiu2HAkxGUXBwKK2RcxLSrfM7RbFLfDZ9JcTmA3T3unWbFEc9A9,50.9,6.1,1.0
16Uiu2HAm8i9tH5qNQQb63pjEmHB6HZHCskv2Xpz159JbkybDoYhJ,30.3,-95.5,1
16Uiu2HAmJruFRV1D4tBsvd2TVbRpdRxcWgJtaeMW5CmPuy9r27aa,-37.8,145,1
16Uiu2HAmLAzT22KHU5mocFgPCQkThc7hyhxSxxmKT2N7v3SNhUh2,29.8,-95.4,0.99
16Uiu2HAmUkXavr6V5CUXJrvbyrchKRC4kspb5vmemj73CqkaGQkT,50.6,3.1,1
16Uiu2HAmM36b1HsV5qFq7gy3iwhybDEnvGcQBrcw8NFcbpyco5ZS,47.6,7.6,1
16Uiu2HAmJYqvU1Q3Dgx9ee2hC3PfyWZa4LzFUr2ZFaB5EChRgjpE,46.8,11.7,1
16Uiu2HAm5Qr71v7UAgTLSTEf6kyt4Kt5FGunU4ES2YP1rzqE2kUp,52.4,4.9,1
16Uiu2HAmKbyFENG3NeNxwpGG4jnyavNjvB3bY15nmvXkKqthGZgk,1.3,103.9,2
16Uiu2HAkx5FwpNdrUSSdJpue9EkRR4NNadeE13p5TaZMzpuLuM3v,52,4.4,1
16Uiu2HAm7L3d5GubBpwTGTJ7A2hR2nHRiCEHjRPrYXAVwGbPb8hA,34,-118.5,1
16Uiu2HAmAEnRBFtiDKP1FaqhpdJj8yph6oVUpSUE7CDssfqAm8y7,50.5,12.4,0.95
16Uiu2HAkxMvwqEYFBUZHvCxRBBC7hSazb7DBzz3oSgznn9wm8oyD,39,-77.5,1
16Uiu2HAm5bZsabGZ5JEGafgYWcm3UQjJBxg2Nktrf189zbMRoFZJ,50.1,8.7,2.88
16Uiu2HAm3Zw2sqV1aPBUgJ5SqMBgoJAQ2mhbvucT47VFTyUD24e2,1.3,103.9,1.53
16Uiu2HAmU2enVq82xYwGHYP1R732vKH8vBJkzRhwqHnFZuUz6jRD,52,5.2,0.88
16Uiu2HAm84oTUgkxnCyZCbqC9J6Y7cvPqz3h4mWrWS2ydZ8b7QCZ,1.3,103.7,1
16Uiu2HAkuy43RT6PDAvyFqLYvvfoKvrBehU3YrWtp4bMarNkGYpX,48.1,18.2,1
16Uiu2HAmNfcTL93nZFk16sNh5t8V8D3aDMFoFuv6FCY8nTB8Racs,24.7,46.7,1
16Uiu2HAmPyH13osoHmc6q9nwxCykCbx54pe6a8CgP4rivbDoJvZN,1.3,103.9,2
16Uiu2HAmD6kdvRj2gVgQ77pyxbBes8xznyBZ1pvrHxvnHQCsy1Sn,51.5,-0.1,2
16Uiu2HAm4hCU7MdDySVZJp1r5g9gqWvLdZzKpc1Fqrd9zNbnwWVG,50.1,8.7,0.98
16Uiu2HAmEwghSfcT6gvkPu1wSpjgXz5ZKed8mbUnNSBZeKS8f3p2,35.7,139.7,2
16Uiu2HAmBki8j4rBPEbTmWaToMrBqNYMH1ct3DCT2QHq8TAKJkGT,37,-122,1
16Uiu2HAkyLi7Aefix4NCudcuAVVEGGffzJRZnJVgZ8hEqrAYN5oC,39.3,-76.7,1
16Uiu2HAmJ6ee3aivbcTKxQYE13HAyAXnAxiWsuM717tbPKaCrRwk,39,-77.5,0.92
16Uiu2HAm1w8HYFLujRwoubXnauqKidjR9gv4QxtisGAwyACtj197,51.9,5.6,1.0
16Uiu2HAm7vU85SWAKnCnJpawA9fQFTgoL6Xk55HnBvaaRsmT1EAi,34.1,-117.6,1
16Uiu2HAkxngAFwdWBbLYkJpiVLHp4d7tquMD72FwgQAcp648fFnu,51.5,-0.1,2
16Uiu2HAmJSZAJ7DjvGC6NKsy8G7fgSH94LXVrK2KKqL3yWFYB5zf,41.9,-87.7,0.84
16Uiu2HAm66JwFzoSnSpiEJZvdiS6TEyh1ig3zVbVWZU8FNhstXnZ,60.4,25,61
16Uiu2HAmPDuFSGjzk6pU88qdZz6Aws4A7UmRyTUmrUR4fPv46JGm,24.7,46.7,1
16Uiu2HAm8JZKDDrsszRevYq1GowhQnTwxPxN1CTVc3yL5QJVQX8n,43.9,-79.4,1
