uuid,latitude,longitude,stake_weight
eeaada81-ae46-4b21-b945-1b8b9280df1c,48.8138,2.2350,1
00414684-6b5b-4639-99d5-50b2f9858733,50.9519,1.8563,1
af0e2685-f14b-4677-bc2e-1782881d5ab5,55.7522,37.6156,1
242021f5-1384-4374-be1b-e94cacafbbcf,-22.9064,-43.1822,1
ccc1b0a6-3f7e-4313-bb95-0e5bb1ba12e7,-22.9064,-43.1822,1
76264ff6-fa47-44a8-80d7-f454efe6d15c,-22.9064,-43.1822,1
4ab7ed28-9491-47bf-a8be-270182b1d219,45.5234,-122.6762,1
3f005489-1f23-4825-ae40-28f90ea714fe,44.0167,20.9167,1
b377dd9e-3d3a-4a26-bf44-4de07d494fc6,48.7437,2.6152,1
3c7199e6-e621-48ac-939f-a37f7391b9e9,52.2298,21.0118,1
3d27d21f-c0a8-49cd-ade0-4e05c4a14387,33.7865,-84.4454,1
703c3118-23e1-4dd5-a94f-685809d0e20b,52.3740,4.8897,1
184e8eea-4cc9-466c-982d-6ba3b121fbc6,53.2192,6.5667,1
ea123e87-d65c-44a1-9472-0e45fe77ce48,22.2783,114.1747,1
5e7c5636-8e9b-4c95-96f7-d42f48680685,-43.5333,172.6333,1
90acaa75-787e-42c7-a0c8-217fd00fef2e,50.4779,12.3713,1
9d61f262-2fd3-4f28-a878-634addccdd6c,37.3394,-121.8950,1
aef5e523-0cf3-4913-82fa-30eb84d83660,39.7392,-104.9847,1
277a7650-1052-44a5-920e-d3995909ec2f,52.3475,5.9833,1
7b5ed45f-df00-4c2a-a787-555a3d08da17,47.6740,-122.1215,1
9c0d7b00-c6f9-4ca6-9a52-08776dc494ba,33.7490,-84.3880,1
d82d912f-2b40-4819-aa6b-2945b1484aba,60.1695,24.9354,1
3a6220cf-bbdb-4a7d-bafc-8d39f5ada391,41.6080,2.2877,1
a920dbce-9c8c-4911-93fb-a2c84bff9656,37.5202,-122.2758,1
8f809e67-932b-4859-85ab-fe8e1229445e,48.2085,16.3721,1
be84c638-89bf-4e8e-95c7-337b71f8458c,60.1695,24.9354,1
664fd4bb-93fa-40fc-b18a-8a2570f6ffcf,33.8356,-117.8681,1
3def01ec-563a-4834-bba2-5d7d851deec7,30.2672,-97.7431,1
9a7f3c1b-03f1-4bdf-9fda-907f3a574e2a,30.2672,-97.7431,1
718bac22-57fb-4951-b7de-789bddd7e9d0,49.4453,11.0222,1
3a2f27ce-5201-4fcf-943f-e5587c5b0cba,31.2222,121.4581,1
db377c98-9751-421c-93d1-3f5c4479d0dc,50.1155,8.6842,1
ef1e6c74-9d8f-4f4a-8adc-4f7061a1b90d,55.7522,37.6156,1
58752943-1987-4d99-a6f1-c4c70f1bf1b6,39.0437,-77.4875,1
728d7e0b-9c63-493c-9a35-6ec825b2c401,60.1695,24.9354,1
403296b7-95b4-4154-b043-56abb39db5ae,35.6895,139.6917,1
13d767b1-63a6-46b5-9c3e-880785456e7e,1.2897,103.8501,1
37e0288f-eae9-44e2-a656-42be219d76c2,42.9059,-88.1390,1
97577af3-a9d4-44ed-bb56-fca5e02b8cc0,41.1544,-96.0422,1
2047bbd8-52d8-40d7-8609-ebfd83feba2d,30.4300,-97.8326,1
977ab556-1b1a-4826-b43e-c81c0b758bd8,52.2298,21.0118,1
0a60f311-4903-4acd-b348-2cd0e3e06acc,41.8500,-87.6500,1
96f092ff-d66c-40c6-b999-7d2be42014ad,35.6170,139.7486,1
de29d922-2c03-4193-b298-e9d2ba2cbe51,32.7831,-96.8067,1
8bb0dd35-65c4-4f75-8101-6a05b6dbb59f,50.1155,8.6842,1
3a065b39-4952-4290-b6eb-2fef8403c0dd,-33.8678,151.2073,1
0264aa34-18ec-49d2-ac40-df15809d5d2d,30.2672,-97.7431,1
95b768ae-c5f4-44df-a97b-fc2984cc4ebc,27.9098,-82.7884,1
4b913768-0418-4fc0-9ef3-f49feceafe2c,42.9634,-85.6681,1
096e2a33-b4ad-433f-9255-0bbabdee91a6,38.9687,-77.3411,1
4c970018-7f3d-4d9f-b427-ff956eae4534,45.8144,15.9780,1
6d28b30d-8efd-4015-8fb3-d6ac8bb7c0d6,45.8144,15.9780,1
c4c03af5-8d73-4260-8f0f-b9dc7048aa58,45.8144,15.9780,1
a0fb9225-e852-4742-ae81-9fadf59f4581,32.0809,34.7806,1
c63a86ab-660a-4ab4-9d96-5e9f89038e60,39.9524,-75.1636,1
8b51e61c-8999-493e-83f8-2678d84b4c4c,45.5234,-122.6762,1
89625e94-5de7-41e4-826e-dc26fae5292a,39.0437,-77.4875,1
d9d4e448-5e7e-494c-b465-796dca387274,40.7143,-74.0060,1
bb9a0404-3303-4950-971c-c106250a2072,44.5622,38.0848,1
f006cd3a-13f6-464d-850d-5db91fd97b0f,60.1695,24.9354,1
9b17aec8-7e0c-4dfc-a246-50859fe8a344,39.0437,-77.4875,1
63d919e0-380f-41ab-a117-987a30129974,47.3667,8.5500,1
207ade09-9174-42cd-afe1-7f85fda94f39,-33.8678,151.2073,1
a6fe8f63-62b0-43a7-859b-010dc3e8fb85,35.6895,139.6917,1
e39704c2-1967-45bc-841e-70fa85cb9465,40.5003,-79.7495,1
5b9c8e5c-3de1-405e-ae57-e53b0953707f,46.9481,7.4474,1
86511f76-2bd8-4c73-b010-ed4319005ff8,50.0880,14.4208,1
88e2b75b-175c-441d-8454-0e106a2eeec5,40.7895,-74.0565,1
bd9c27c1-299b-4fa4-9a9b-ee098521da43,41.8500,-87.6500,1
dd8d3470-81b9-4599-bc31-bd88b29ccb65,60.1695,24.9354,1
5a962ea1-fc49-484f-96ce-b037a12384a8,60.1695,24.9354,1
ec9a8c86-fed1-415b-913f-3a4bb7bf74c5,45.4501,-73.4658,1
e0a39a27-868b-4ee2-9e9a-b49fc569e931,49.0094,8.4044,1
b4a19692-8687-4cf4-a66f-dcda97a2e9ec,-36.8485,174.7635,1
97e3080f-1310-4047-bfb4-0e8f330cc08b,50.4779,12.3713,1
5628d444-0274-41b7-994b-a956b09f94c6,51.9942,4.2097,1
59aa025b-9ee1-44bb-8d94-e2bc57bde76d,-34.6131,-58.3772,1
f2b346c9-e523-4ed9-a86f-19de1a528e63,50.1155,8.6842,1
85a960ff-9e92-40cf-9557-aec5cba2e5c5,22.2783,114.1747,1
bd6f6af3-dc41-40fc-8fdf-a4a2612534c2,-37.8140,144.9633,1
26266979-be49-4669-9505-97b3d05d3981,49.4891,8.4669,1
ba327083-71a7-4ff4-b139-cdc3822d8ced,38.7098,-90.8796,1
2e5e5f0f-d003-459b-b01f-122d15904f39,-36.8485,174.7635,1
a2c86e19-2bb9-4103-a9eb-eb76d472e9e8,31.2222,121.4581,1
bd15bdff-56b9-477a-8958-f140bb975c26,49.1952,16.6080,1
00372234-2314-4df4-bb25-97713e7ca2d6,35.6895,139.6917,1
f19944ed-cbc2-470b-b244-c4b9ef7a3a68,-33.8678,151.2073,1
6a5907cd-4a10-44ab-9e10-ffd5f1f7f7d3,39.0437,-77.4875,1
c2805a1f-57f5-4526-9054-1879603512f7,37.3236,126.8219,1
224451ea-e673-4c99-a7b0-036b198f7dea,56.0271,37.4679,1
ee7f261c-dcc5-45fe-90c8-e5f680b0ca4f,22.2783,114.1747,1
1318facd-351d-4a60-8bb1-a8410346bc3a,39.7886,-85.9779,1
837720d3-15c8-4c18-8499-7f994a5d2ad8,32.8546,-79.9748,1
d7cfea48-9406-46a1-abac-3b2848845c86,32.8546,-79.9748,1
93820602-4a07-40de-8aeb-067ed9d0e3a5,43.8260,-111.7897,1
27b5f00e-237a-4bde-98bb-5cce5673af92,39.7392,-104.9847,1
24f3e15b-ccf1-41d4-91bd-98a0bb0a3b99,-27.4679,153.0281,1
0dd1db22-5ee3-42d0-99a5-69a9dcf2cb15,52.4025,6.0681,1
ec7ede40-9c8a-4cfb-80d9-0f4b7b788b0c,51.5085,-0.1257,1
ff79d080-7bdf-43a8-97da-9e29f8c1b5af,47.2529,-122.4443,1
90588f9e-598a-4054-932a-c9e1908ad8b5,50.4779,12.3713,1
2b205f02-eceb-44a5-9574-8f473e8f89f4,33.8840,-84.5144,1
6feb8011-c933-4a5a-9608-125a360b2eaa,33.4665,-111.9984,1
bbe8297f-9dba-487d-bcb3-04e7f3f8f9cf,40.4165,-3.7026,1
4e9a4fb3-4cb0-4d59-9ba3-4e4c9a60fb68,51.5085,-0.1257,1
62ae0705-6c88-4b40-a248-784b88ea43a6,49.4075,11.1649,1
be0321b4-7454-465c-be05-79c88c75963a,33.8873,-117.8946,1
f2f1ecdf-63a7-4db0-8c6b-4fc1b65e8aef,39.0437,-77.4875,1
c3eff84e-67f0-42ca-9de9-4a2af042f599,50.6330,3.0586,1
f4d18a83-af1b-4ff7-9d15-e545f9e3a42b,50.4779,12.3713,1
08d7dee7-7a2d-48a6-a4f3-2cffe80329a1,44.4323,26.1063,1
0dd356ea-1236-4dcb-9cd1-0a859000839c,1.2897,103.8501,1
93dbc6ab-e6c9-4621-b341-fe02393316b6,1.2897,103.8501,1
3bf25841-adb4-41ec-874e-671163f2c09c,37.3394,-121.8950,1
2dce9f47-cac2-46a5-8abf-7afb6bfcd47d,1.2897,103.8501,1
d8125e48-c348-41ec-a608-ed2c95a63044,-23.5475,-46.6361,1
d74fe432-a31b-4023-b777-326006cfc59d,40.7608,-111.8911,1
e46b3e9e-9bd6-4016-91a8-9ed9299e741c,1.2897,103.8501,1
3ef99746-aafd-4063-8941-4c35238e0eac,40.7143,-74.0060,1
2a5962c6-1556-41bb-b463-c5f9112e143e,40.4993,-74.3990,1
e03fed46-84a4-40de-ab2b-451f8841c8c8,49.1357,20.4335,1
b2198018-8689-4b19-af1b-60458a7e2f93,51.2217,6.7762,1
5a4fa612-0694-4a85-ad12-0b754322da24,38.0494,-122.1586,1
