server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
0,-7.0833,-34.8333,2,56ff38eb-e193-4655-92e6-11f65c6c3211,558.23372176088
1,-37.7833,144.9667,41,9c268329-4fb6-47ed-8191-4a8cb12bddc9,255.40650019021345
2,43.6481,-79.4042,744,10352947-d9c1-4484-b2c7-e9190ec01d65,86.33313135559293
3,50.0833,14.4167,183,4e24a479-f8a4-4942-a9a9-264e40d20079,113.5643836708033
4,48.8742,2.347,1674,a35a9fc0-9acd-4b0e-99ff-8f4badfa81be,163.719756145892
6,35.6833,139.7667,157,f0af167a-b92a-4824-856b-c252d3a75387,32.847569879210994
8,-36.8404,174.7399,17,ff0aadab-90d7-46d4-a9ac-dc8d5e32740c,2.285057118775774
9,55.7517,37.6178,41,a28809a1-f592-4ef7-8535-3c84031ce50b,165.66927914323404
10,59.32,18.09,377,ab6ec181-c02f-439b-814e-3f4389acf33d,71.16558903767759
12,32.7828,-96.8039,105,65b3f7d4-652d-4309-bc5e-a4956af58c7a,51.256437513170646
15,25.765,-80.2,53,8be238a3-b2cb-4723-966d-3219c8a7e44a,70.28220398398967
17,41.3857,2.1699,66,814c22cc-db5c-4833-bb5f-7f34db7ca27d,140.472142441978
18,33.7489,-84.3881,91,d01201b5-261f-41b8-9d78-820d526d3a27,154.3006636583127
19,53.3478,-6.2597,71,eaa3d933-c4a3-4692-a4ca-c4da05630b21,4.663037535280464
21,-27.4667,153.0333,20,51453317-bdf3-404c-8565-52d2c440590a,43.1296234682606
22,41.85,-87.65,251,1edf53d7-0d32-427c-b45f-ae4cfe922725,120.6152276871878
24,47.6097,-122.3331,179,1218076d-7eac-4839-be4e-a99d56cc993f,144.9207193834918
30,37.5483,-121.9875,306,ed24566e-c2fc-4298-84e7-4261b0702a7b,80.13753087947826
34,50.45,30.5233,22,6bb1da28-b0fe-43f1-b448-8ca159597632,308.4347075436208
36,3.1333,101.6833,180,e4ef9544-e1ca-41cb-9879-7917bc94189a,324.39117191938016
42,-33.9767,18.4244,4,c9c2f3b5-98a6-4bb6-9fce-9629a3aee362,31.6245930968924
44,38.7,-9.1833,32,123a9bcc-00d9-4b7a-baa0-e4d73cad5dfe,186.8626657650358
46,28.585,77.2,1,e8fad209-bb44-4b26-870f-33f0809fb46f,19.38641630572308
48,60.38,5.34,22,d5b29cdf-a753-45be-9ef3-802065c9fbd3,116.40926830459223
49,6.2457,-75.5822,2,79873206-ad60-4445-ae39-c7082f505ddb,2.1649408455261927
50,-34.6036,-58.3817,37,170ee530-e155-4a96-8f20-351530fb312f,371.2420968623093
