server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
2,43.6481,-79.4042,138407141605567,NodeID-HvxZoKdC58RkD4ZVTYwjVZ3TsiQoTESEP,6.498297689364551
4,48.8742,2.347,5285505295826324,"NodeID-4teb2JJaaGsiLTK4qHQTpGMfy7zZdU1AC,NodeID-36Vywf4J2tu9gA8xJCxZjwi2JABWSF7qo,NodeID-EvZXX2K2eVEV7n6Y8cnmeSRgj4JhkCVad",123.84254698752336
6,35.6833,139.7667,7017031957012271,"NodeID-FKGhEFYnHUdFadoR2ePvdTTM5Sz8tgjHp,NodeID-3KX9tgCEQcTHbC8W9yY4zY32Cj3ET9MNQ,NodeID-9mtTuxamXQyiePCNyheFEyjr4cAQo4Wbg",44.27452383120723
10,59.32,18.09,2155740604031700,NodeID-ELjBQTBvaEAMk7Qx7qJNJsEh2DYC4nxUn,1.5976704106502095
11,51.5171,-0.1062,3110960845074636,"NodeID-Btr5hkRibMyYztC9jQg5T3fpKNeYf3Qdq,NodeID-A8X5CqiZhsqSEGNUNqZifHqskMvSUJBG,NodeID-tHkVEqdhWPdX2vJGbqDWebw2VPrho4Aq,NodeID-3HvUXQy1siDNUBGWMYxwMfjufh8mxLtQY",46.42833978552278
15,25.765,-80.2,114922343896998,NodeID-FHGwnPLGdU3FBzbwnhayx1sDjxiiyb9sD,95.77365673794526
16,38.9694,-77.3864,30011155265807112,"NodeID-3oaegcGaKyncpiWQCzEVd7vN1Vcsue3Wc,NodeID-HM1vYJWnjWhJkJi8dErcu4p5UDxwUKbp9",38.330481287318904
18,33.7489,-84.3881,103539530045367,NodeID-AcVHs6PgeipByAajqn3h7PHDk9cZXDZ2K,0.014461169834146472
19,53.3478,-6.2597,14583774770269434,NodeID-GR11oP3kLHf82Xbi3H2kewqoM7ydHF5ES,4.663037535280464
20,48.2088,16.3726,7747369880084,NodeID-AQT1i38PMJQxRqjpwrQ98QESW3EJzG3p7,12.70560738366573
24,47.6097,-122.3331,1621374770000401,NodeID-9NEeo3Ayq5qGodBbMZ1gdCQ4bmGH59BBo,0.39633747616131026
