run_id,name,faults,input_rate,committee_size,transaction_size,execution_time,batch_size,consensus_tps,consensus_bps,consensus_latency,end_to_end_tps,end_to_end_bps,end_to_end_latency,runs
1500,cometbft,0,60018,42,128,95,,1034,132316,2290,1135,145321,26384,1
1501,cometbft,0,60018,42,128,72,,1383,176980,1098,1443,184728,36482,1
1502,cometbft,0,60018,42,128,97,,959,122718,4067,1042,133401,23776,2
1503,cometbft,0,60018,42,128,80,,1494,191220,4022,1641,210098,36232,2
1504,cometbft,0,60018,42,128,90,,1341,171693,4322,1558,199391,35996,2
1505,cometbft,0,60018,42,128,95,,1004,128490,3332,1116,142804,28146,3
1506,cometbft,0,60018,42,128,96,,967,123837,2254,1052,134656,22013,4
1507,cometbft,0,60018,42,128,94,,1686,215814,2054,1785,228467,35418,4
1508,cometbft,0,60018,42,128,74,,1086,139009,2492,1327,169914,37742,4
1509,cometbft,0,60018,42,128,86,,1106,141520,2208,1219,156080,23743,5
1510,cometbft,0,60018,42,128,93,,1613,206460,2317,1857,237698,33353,5
1511,cometbft,0,60018,42,128,93,,1528,195541,2231,1796,229827,35011,5
1512,cometbft,0,60018,42,128,63,,972,124413,2355,1113,142461,5324,6
1513,cometbft,0,60018,42,128,97,,1221,156341,6382,1350,172774,35640,6
1514,cometbft,0,60018,42,128,74,,1228,157218,1414,1402,179494,39441,6
1568,cometbft,0,60018,42,128,89,,1025,131217,3197,1138,145610,28801,1
1569,cometbft,0,60018,42,128,98,,1269,162481,3429,1452,185915,37286,1
1570,cometbft,0,60018,42,128,100,,1048,134174,3152,1099,140717,25776,2
1571,cometbft,0,60018,42,128,102,,1567,200518,2675,1700,217584,36614,2
1572,cometbft,0,60018,42,128,89,,1067,136621,2081,1165,149163,23371,3
1573,cometbft,0,60018,42,128,88,,1660,212486,1521,1905,243783,31140,3
1574,cometbft,0,60018,42,128,79,,1121,143473,3296,1371,175430,34746,3
1575,cometbft,0,60018,42,128,87,,1119,143255,2743,1216,155666,24559,4
1576,cometbft,0,60018,42,128,102,,1465,187505,1536,1643,210344,37100,4
1577,cometbft,0,60018,42,128,97,,983,125878,1871,1075,137619,21288,5
1578,cometbft,0,60018,42,128,93,,1275,163169,2185,1452,185798,37357,5
1579,cometbft,0,60018,42,128,103,,1173,150174,2241,1290,165061,39580,5
1580,cometbft,0,60018,42,128,100,,997,127599,2772,1071,137067,23480,6
1642,cometbft,0.0,60018.0,42.0,128.0,89.0,,1045.0,133769.0,4589.0,1137.0,145558.0,21905.0,1
1643,cometbft,0.0,60018.0,42.0,128.0,92.0,,1359.0,173981.0,2710.0,1483.0,189869.0,33897.0,1
1644,cometbft,0.0,60018.0,42.0,128.0,96.0,,1488.0,190421.0,2068.0,1747.0,223589.0,35783.0,1
1645,cometbft,0.0,60018.0,42.0,128.0,74.0,,1587.0,203115.0,2823.0,1880.0,240704.0,37583.0,1
1646,cometbft,0.0,60018.0,42.0,128.0,82.0,,1133.0,144986.0,2517.0,1254.0,160566.0,23057.0,2
1647,cometbft,0.0,60018.0,42.0,128.0,82.0,,1509.0,193155.0,1699.0,1702.0,217844.0,32275.0,2
1648,cometbft,0.0,60018.0,42.0,128.0,99.0,,1131.0,144771.0,2107.0,1363.0,174483.0,36055.0,2
1649,cometbft,0.0,60018.0,42.0,128.0,86.0,,1682.0,215343.0,3420.0,1893.0,242300.0,37487.0,2
1650,cometbft,0.0,60018.0,42.0,128.0,89.0,,1289.0,165023.0,3517.0,1536.0,196604.0,37538.0,2
1652,cometbft,0.0,60018.0,42.0,128.0,94.0,,1028.0,131595.0,2115.0,1119.0,143220.0,23741.0,3
1653,cometbft,0.0,60018.0,42.0,128.0,71.0,,1755.0,224609.0,4785.0,1971.0,252233.0,38081.0,3
1654,cometbft,0.0,60018.0,42.0,128.0,77.0,,1412.0,180719.0,4872.0,1761.0,225458.0,39287.0,3
1655,cometbft,0.0,60018.0,42.0,128.0,88.0,,1319.0,168850.0,4747.0,1538.0,196852.0,37820.0,3
1656,cometbft,0.0,60018.0,42.0,128.0,66.0,,1749.0,223906.0,1266.0,2095.0,268105.0,40725.0,3
1658,cometbft,0.0,60018.0,42.0,128.0,83.0,,1137.0,145595.0,2512.0,1248.0,159754.0,23258.0,4
1659,cometbft,0.0,60018.0,42.0,128.0,69.0,,1663.0,212884.0,4083.0,1996.0,255523.0,36669.0,4
1660,cometbft,0.0,60018.0,42.0,128.0,77.0,,1368.0,175139.0,14276.0,1693.0,216714.0,39473.0,4
1661,cometbft,0.0,60018.0,42.0,128.0,80.0,,1184.0,151544.0,3335.0,1341.0,171667.0,36464.0,4
1662,cometbft,0.0,60018.0,42.0,128.0,69.0,,1261.0,161453.0,3388.0,1503.0,192322.0,36150.0,4
1664,cometbft,0.0,60018.0,42.0,128.0,80.0,,1127.0,144201.0,2160.0,1259.0,161089.0,20308.0,5
1665,cometbft,0.0,60018.0,42.0,128.0,82.0,,1123.0,143718.0,5790.0,1290.0,165074.0,32303.0,5
1666,cometbft,0.0,60018.0,42.0,128.0,95.0,,1204.0,154104.0,1732.0,1396.0,178680.0,34084.0,5
1667,cometbft,0.0,60018.0,42.0,128.0,92.0,,1609.0,206014.0,2546.0,1894.0,242433.0,37090.0,5
1668,cometbft,0.0,60018.0,42.0,128.0,99.0,,1540.0,197092.0,1929.0,1727.0,221096.0,39041.0,5
1670,cometbft,0.0,60018.0,42.0,128.0,87.0,,1086.0,138961.0,2401.0,1168.0,149463.0,23111.0,6
1671,cometbft,0.0,60018.0,42.0,128.0,92.0,,1597.0,204443.0,3962.0,1781.0,227917.0,32399.0,6
1672,cometbft,0.0,60018.0,42.0,128.0,75.0,,1386.0,177437.0,1454.0,1746.0,223519.0,39307.0,6
1673,cometbft,0.0,60018.0,42.0,128.0,89.0,,1334.0,170731.0,3318.0,1527.0,195474.0,36705.0,6
1674,cometbft,0.0,60018.0,42.0,128.0,81.0,,1415.0,181121.0,2487.0,1666.0,213299.0,37568.0,6
1850,cometbft,0.0,60018.0,42.0,128.0,96.0,,1002.0,128306.0,1718.0,1081.0,138416.0,27211.0,7
1851,cometbft,0.0,60018.0,42.0,128.0,86.0,,1349.0,172718.0,3760.0,1604.0,205292.0,38623.0,7
1852,cometbft,0.0,60018.0,42.0,128.0,94.0,,1520.0,194599.0,1720.0,1803.0,230761.0,40841.0,7
1853,cometbft,0.0,60018.0,42.0,128.0,92.0,,1296.0,165910.0,1576.0,1485.0,190082.0,39599.0,7
1854,cometbft,0.0,60018.0,42.0,128.0,69.0,,1266.0,162060.0,2326.0,1558.0,199429.0,41859.0,7
1855,cometbft,0.0,60018.0,42.0,128.0,96.0,,1296.0,165910.0,1720.0,1558.0,199429.0,39599.0,7
2009,cometbft,0,60018,42,128,89,,1095,140191,2516,1210,154934,22945,7
2010,cometbft,0,60018,42,128,81,,1244,159280,2856,1287,164750,20969,8
1856,cometbft,0.0,60018.0,42.0,128.0,82.0,,1239.0,158653.0,2817.0,1304.0,166869.0,23317.0,8
1857,cometbft,0.0,60018.0,42.0,128.0,78.0,,1482.0,189640.0,1726.0,1766.0,226074.0,35117.0,8
1858,cometbft,0.0,60018.0,42.0,128.0,91.0,,1349.0,172705.0,4410.0,1568.0,200750.0,36038.0,8
1859,cometbft,0.0,60018.0,42.0,128.0,89.0,,1653.0,211631.0,2008.0,1912.0,244711.0,37629.0,8
1860,cometbft,0.0,60018.0,42.0,128.0,79.0,,1404.0,179693.0,2082.0,1705.0,218243.0,38398.0,8
1861,cometbft,0.0,60018.0,42.0,128.0,82.0,,1404.0,179693.0,2082.0,1705.0,218243.0,36038.0,8
2011,cometbft,0,60018,42,128,95,,1067,136524,2318,1094,139973,24149,9
1862,cometbft,0.0,60018.0,42.0,128.0,70.0,,894.0,114417.0,1219.0,999.0,127899.0,3563.0,9
