run_id,name,faults,input_rate,committee_size,transaction_size,execution_time,batch_size,consensus_tps,consensus_bps,consensus_latency,end_to_end_tps,end_to_end_bps,end_to_end_latency,runs
1548,cometbft,0,60032,64,128,101,,522,66761,1292,655,83883,1150,1
1549,cometbft,0,60032,64,128,93,,603,77135,1313,725,92818,1989,2
1550,cometbft,0,60032,64,128,95,,948,121379,4373,1105,141476,41080,2
1551,cometbft,0,60032,64,128,63,,417,53354,1042,547,70077,0,3
1552,cometbft,0,60032,64,128,84,,666,85288,1899,823,105299,45158,3
1553,cometbft,0,60032,64,128,79,,358,45856,2960,447,57274,1002,4
1554,cometbft,0,60032,64,128,75,,408,52186,1538,507,64846,34704,4
1555,cometbft,0,60032,64,128,59,,474,60696,1872,600,76863,1160,5
1556,cometbft,0,60032,64,128,78,,346,44347,2895,474,60680,2167,6
1557,cometbft,0,60032,64,128,60,,431,55219,1132,577,73896,52236,6
1618,cometbft,0.0,60032.0,64.0,128.0,51.0,,413.0,52830.0,640.0,640.0,81946.0,0.0,1
1619,cometbft,0.0,60032.0,64.0,128.0,50.0,,464.0,59424.0,1049.0,701.0,89741.0,1178.0,2
1620,cometbft,0.0,60032.0,64.0,128.0,83.0,,613.0,78468.0,1734.0,837.0,107090.0,6612.0,3
1621,cometbft,0.0,60032.0,64.0,128.0,50.0,,1057.0,135262.0,1434.0,1396.0,178702.0,40193.0,3
1622,cometbft,0.0,60032.0,64.0,128.0,54.0,,502.0,64291.0,2075.0,729.0,93265.0,3075.0,4
1623,cometbft,0.0,60032.0,64.0,128.0,51.0,,462.0,59194.0,2516.0,734.0,94010.0,1494.0,5
1624,cometbft,0.0,60032.0,64.0,128.0,66.0,,375.0,47943.0,2634.0,545.0,69709.0,1125.0,6
1625,cometbft,0.0,60032.0,64.0,128.0,50.0,,559.0,71532.0,1773.0,743.0,95123.0,50048.0,6
