run_id,name,faults,input_rate,committee_size,transaction_size,execution_time,batch_size,consensus_tps,consensus_bps,consensus_latency,end_to_end_tps,end_to_end_bps,end_to_end_latency,runs
1530,cometbft,0,60032,64,128,72,,382,48894,2076,496,63488,913000,1
1531,cometbft,0,60032,64,128,103,,628,80343,1411,689,88133,2679,2
1532,cometbft,0,60032,64,128,90,,638,81700,3775,776,99283,84525,3
1533,cometbft,0,60032,64,128,72,,1134,145190,1393,1404,179715,54858,3
1534,cometbft,0,60032,64,128,60,,489,62600,1055,586,74958,0,4
1535,cometbft,0,60032,64,128,59,,484,61925,3833,655,83897,15401,5
1536,cometbft,0,60032,64,128,65,,438,56082,3802,586,74980,1883,6
1537,cometbft,0,60032,64,128,49,,576,73674,4020,750,96034,50149,6
1593,cometbft,0,60032,64,128,92,,618,79052,1108,747,95605,2050,1
1594,cometbft,0,60032,64,128,59,,563,72035,1452,675,86419,2935,2
1595,cometbft,0,60032,64,128,55,,465,59505,936,651,83383,1185,3
1596,cometbft,0,60032,64,128,93,,640,81947,2146,763,97657,3653,4
1597,cometbft,0,60032,64,128,46,,1118,143134,3036,1491,190788,59072,4
1598,cometbft,0,60032,64,128,50,,601,76952,1590,777,99412,2019,5
1599,cometbft,0,60032,64,128,66,,433,55479,1091,555,71098,2134,6
1709,cometbft,0.0,60032.0,64.0,128.0,60.0,,476.0,60880.0,1116.0,639.0,81781.0,1803.0,1
1710,cometbft,0.0,60032.0,64.0,128.0,57.0,,493.0,63055.0,1376.0,652.0,83417.0,1962.0,2
1711,cometbft,0.0,60032.0,64.0,128.0,96.0,,613.0,78495.0,1365.0,726.0,92930.0,2168.0,3
1712,cometbft,0.0,60032.0,64.0,128.0,69.0,,436.0,55782.0,1211.0,558.0,71469.0,2020.0,4
1713,cometbft,0.0,60032.0,64.0,128.0,56.0,,473.0,60601.0,2329.0,613.0,78438.0,53373.0,4
1714,cometbft,0.0,60032.0,64.0,128.0,64.0,,452.0,57846.0,1984.0,582.0,74498.0,1790.0,5
1715,cometbft,0.0,60032.0,64.0,128.0,74.0,,375.0,48055.0,2476.0,482.0,61739.0,1284.0,6
1716,cometbft,0.0,60032.0,64.0,128.0,61.0,,511.0,65430.0,7588.0,664.0,85035.0,48173.0,6
