run_id,name,faults,input_rate,committee_size,transaction_size,execution_time,batch_size,consensus_tps,consensus_bps,consensus_latency,end_to_end_tps,end_to_end_bps,end_to_end_latency,runs
1147,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,156890.0,20081890.0,1783.0,156593.0,20043900.0,3283.0,1
1148,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158834.0,20330698.0,1131.0,157406.0,20148004.0,2291.0,1
1149,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,159080.0,20362226.0,948.0,158089.0,20235340.0,1554.0,1
1150,hotstuff,0.0,160000.0,64.0,128.0,100.0,120000.0,158313.0,20264004.0,905.0,157842.0,20203823.0,1503.0,1
1151,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158731.0,20317553.0,765.0,158502.0,20288199.0,1312.0,2
1152,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158579.0,20298140.0,915.0,157471.0,20156314.0,2039.0,2
1153,hotstuff,0.0,160000.0,64.0,128.0,99.0,120000.0,158673.0,20310191.0,893.0,157705.0,20186250.0,2035.0,2
1154,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,159595.0,20428113.0,713.0,158212.0,20251123.0,1251.0,2
1155,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158682.0,20311266.0,709.0,158104.0,20237347.0,1244.0,2
1157,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,159365.0,20398688.0,942.0,158337.0,20267112.0,1560.0,3
1158,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158695.0,20312981.0,904.0,158143.0,20242368.0,1505.0,3
1159,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158982.0,20349690.0,804.0,157993.0,20223125.0,1379.0,3
1160,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,159359.0,20397991.0,802.0,158323.0,20265301.0,1379.0,3
1161,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158939.0,20344192.0,849.0,158255.0,20256594.0,1426.0,3
1163,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158580.0,20298302.0,843.0,158245.0,20255374.0,1418.0,4
1164,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,159275.0,20387206.0,836.0,158031.0,20228003.0,1419.0,4
1165,hotstuff,0.0,160000.0,64.0,128.0,90.0,120000.0,159005.0,20352618.0,993.0,157436.0,20151776.0,2193.0,4
1166,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,159002.0,20352276.0,838.0,157934.0,20215595.0,1422.0,4
1167,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,157622.0,20175636.0,1275.0,156532.0,20036148.0,3504.0,4
1169,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158840.0,20331584.0,858.0,157996.0,20223439.0,1426.0,5
1170,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158892.0,20338119.0,845.0,158135.0,20241314.0,1422.0,5
1171,hotstuff,0.0,160000.0,64.0,128.0,102.0,120000.0,145839.0,18667353.0,895.0,144916.0,18549269.0,1468.0,5
1172,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158668.0,20309530.0,843.0,157620.0,20175334.0,1416.0,5
1173,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158896.0,20338678.0,850.0,158044.0,20229576.0,1442.0,5
1175,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158563.0,20296040.0,908.0,158036.0,20228598.0,1491.0,6
1176,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,159776.0,20451368.0,933.0,158098.0,20236584.0,1533.0,6
1177,hotstuff,0.0,160000.0,64.0,128.0,102.0,120000.0,159227.0,20381026.0,900.0,157762.0,20193554.0,1495.0,6
1178,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158052.0,20230637.0,878.0,157715.0,20187465.0,1463.0,6
1179,hotstuff,0.0,160000.0,64.0,128.0,101.0,120000.0,158844.0,20332038.0,912.0,158057.0,20231331.0,1528.0,6
