run_id,name,faults,input_rate,committee_size,transaction_size,execution_time,batch_size,consensus_tps,consensus_bps,consensus_latency,end_to_end_tps,end_to_end_bps,end_to_end_latency,runs
880,hotstuff,0.0,80000.0,64.0,128.0,296.0,120000.0,71559.0,9159602.0,2191.0,71434.0,9143492.0,8977.0,1.0
881,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,79329.0,10154147.0,370.0,79123.0,10127713.0,1083.0,
882,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,74594.0,9548024.0,659.0,74437.0,9527884.0,3410.0,
883,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,76961.5,9851085.5,514.5,76780.0,9827798.5,2246.5,2.0
884,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,71325.0,9129629.0,951.0,71152.0,9107441.0,4239.0,
885,hotstuff,0.0,80000.0,64.0,128.0,300.0,120000.0,76368.0,9775097.0,640.0,76119.0,9743242.0,3814.0,
886,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,73846.5,9452363.0,795.5,73635.5,9425341.5,4026.5,2.0
887,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,79142.0,10130121.0,378.0,79103.0,10125175.0,1080.0,
888,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,70124.0,8975862.0,672.0,70002.0,8960210.0,3216.0,
889,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,74633.0,9552991.5,525.0,74552.5,9542692.5,2148.0,2.0
890,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,79291.0,10149187.0,419.0,79122.0,10127585.0,1463.0,
891,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,69619.0,8911244.0,1094.0,69504.0,8896560.0,3517.0,
892,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,74455.0,9530215.5,756.5,74313.0,9512072.5,2490.0,2.0
893,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,79221.0,10140242.0,381.0,79100.0,10124816.0,1078.0,
894,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,79058.0,10119383.0,377.0,78986.0,10110206.0,1085.0,
895,hotstuff,0.0,80000.0,64.0,128.0,301.0,120000.0,79139.5,10129812.5,379.0,79043.0,10117511.0,1081.5,2.0
