latitude,longitude,stake_weight,uuid,GDI,country
-33.9258,18.4232,3439845493773986,NodeID-DAtCoXfLT6Y83dgJ7FmQg8eR53hz37J79,676925.7094501117,South Africa
-33.8678,151.2073,6741435961647563,NodeID-5mmVqScHrzTiSa2WVjo99g2yzL83EBS6W,826681.5860823569,Australia
-33.777,150.8973,2910314654015,NodeID-AUeAjRR7q12Pps6Qckyy1PUzFwP34pFij,826578.8713545729,Australia
-23.5475,-46.6361,1092133946049780,NodeID-3yiw3g5Rer7repmzoJaATJpkf7GnWD5j9,648976.1462576636,Brazil
-6.2146,106.8451,5400000000000000,NodeID-4CL8XnuYqfVVLxRre5C5A1dpRv3cZN2Zs,672253.7020915293,Indonesia
1.1494,104.0249,36165315968508,NodeID-Mss1z2VZYsNSa4LyqD99vXeNd8h3hUMDA,624472.9344319075,Indonesia
1.2897,103.8501,7812148576456297,NodeID-7843EeyboY1mZSmdzjqdJodxHycNn7Kv2,623257.6296790687,Singapore
10.823,106.6296,10655968952747,NodeID-Gey3HmUZyAXuvawThT1McvEjrofAwrGi6,584997.5965920072,Vietnam
19.0728,72.8826,2523084433896262,NodeID-6ghBh6yof5ouMCya2n9fHzhpWouiZFVVj,410627.4859224839,India
22.2783,114.1747,1973971160660952,NodeID-QKGoUvqcgormCoMj6yPw9isY7DX9H4mdd,565140.0524069559,China
25.0772,55.3093,6599690919601,NodeID-M9Q4Fc2StCtFCofjppsy6DC7JDGmtRfUA,419691.23089258396,United Arab Emirates
26.0686,50.5039,6000000000000000,NodeID-EmRTfxEKTLpzTyWJmYTXVxyGr79bsv4Bp,401707.3173407962,Bahrain
26.6237,-80.1253,114922343896998,NodeID-FHGwnPLGdU3FBzbwnhayx1sDjxiiyb9sD,320648.29950996715,United States
28.2189,-82.4576,2619999000000,NodeID-PE1w1JuaNXay8NQzvkYuMZ2ZfygP6wQhy,315846.24973676325,United States
32.8546,-79.9748,2556518497063,NodeID-KhvVVixdSrBD6u9q25YYNbayxBnNsw9h,289948.29398284276,United States
33.749,-84.388,103539530045367,NodeID-AcVHs6PgeipByAajqn3h7PHDk9cZXDZ2K,293376.18800730363,United States
34.0522,-118.2437,289187880685604,NodeID-6xjnXHhLrLDafewh5t69uRqtHea75RSGv,326702.633239048,United States
34.6938,135.5011,3213819050521901,NodeID-GuWMRuFkQPvPjdnuegSQYDmTMbj3UtPBm,554940.2539127701,Japan
35.3195,139.1096,6006000000000,NodeID-FKGhEFYnHUdFadoR2ePvdTTM5Sz8tgjHp,568488.1309209105,Japan
35.3993,139.3102,9570982111070,NodeID-3KX9tgCEQcTHbC8W9yY4zY32Cj3ET9MNQ,568518.7921552609,Japan
35.609,139.7302,7001454974901201,NodeID-9mtTuxamXQyiePCNyheFEyjr4cAQo4Wbg,568468.4054446333,Japan
36.7202,-4.4203,53883424182134,NodeID-8WvUBZyrk6XyF7pvcg3NJZk8jtJGi1W9G,192570.40272374966,Spain
36.8468,-76.2852,267159898365110,NodeID-NZEnXQpa55wAhwpcUZFgSAREXW1FLdkzQ,276169.74600994796,United States
36.9081,30.6956,6971288377324,NodeID-KZiZi4sS44KZjmGtkeF6r1vs2MNN7p2kZ,257212.19783844604,Turkey
37.3394,-121.895,753903622646299,NodeID-8TArWpFgH3sazEH8qP4gUjtGtFMvjw1aR,359275.73440205277,United States
37.4565,126.7052,5667190292015292,NodeID-C9Bcji6rXUp22qyWhvYKm4v45hJAkzvpU,497956.475074355,South Korea
37.5483,-121.9886,134300329718913,NodeID-56PBmfRBSmT2sYsPLiBPKVq2fQUVGEg9g,358675.3297219081,United States
