latitude,longitude,stake_weight,uuid,GDI,country
1.3667,103.75,547,Singapore,266831.9234822349,Singapore
12.9716,77.5946,48,Karnataka,202760.98664921368,India
18.5236,73.8478,105,Maharashtra,186194.76012543196,India
20.58806,-100.38806,26,QuerÃ©taro,157774.57841675344,Mexico
22.3,114.1667,102,Hong Kong,221485.94427930645,China
25.0333,121.5333,116,Taiwan,236353.37305981334,Taiwan
29.9667,-90.05,86,Louisiana,127928.06382825815,United States
35.6833,139.7667,692,Tokyo,237140.56255575106,Japan
37.3542,-121.9542,538,California,177624.92376199437,United States
37.456257,126.705208,103,Incheon,226214.5438915916,South Korea
37.5665,126.978,196,Seoul,226361.9843395466,South Korea
37.9643,-91.8318,32,Missouri,123430.94215082398,United States
38.9694,-77.3864,416,Virginia,106808.09956044682,United States
40.0583,-74.4057,194,New Jersey,105029.73961259551,United States
40.4173,-82.9071,37,Ohio,107133.00739104225,United States
40.7269,-73.6497,406,New York,104329.6443389075,United States
40.75,-111.8833,144,Utah,132819.8714806963,United States
41.5,-100.0,113,Nebraska,126986.3442893782,United States
41.85,-87.65,46,Illinois,115628.49010293445,United States
44.435581,26.102221,104,BucureÈti,61935.13867280321,Romania
45.5236,-122.675,33,Oregon,147852.21056021578,United States
46.8139,-71.208,478,Quebec,100667.32716473259,Canada
47.02076,8.65414,43,Schwyz,31214.039285919996,Switzerland
47.369,8.538,222,Zurich,30572.77486634143,Switzerland
47.379238,8.08434,45,Aargau,30627.394531470218,Switzerland
47.6097,-122.3331,39,Washington,145209.13364905617,United States
48.210033,16.363449,113,Vienna,39295.3412825083,Austria
48.31739,17.17903,98,Bratislava Region,46612.03800341985,Slovakia
48.5734,7.7521,323,Grand Est,29071.166044175352,France
48.8978,2.2531,100,Ãle-de-France,32825.189296144184,France
49.45,11.0833,35,Bavaria,28687.991095406196,Germany
49.497509,5.9825,153,Esch-sur-Alzette,28945.5643911957,Luxembourg
49.7481,6.1039,194,Mersch,28725.87701807795,Luxembourg
50.1167,8.6833,1146,Hesse,27949.55710408561,Germany
50.475,12.365,227,Saxony,28840.422474457275,Germany
50.69,3.1817,303,Hauts-de-France,30741.96273336738,France
51.2333,6.7833,159,North Rhine-Westphalia,28370.31083354135,Germany
51.5171,-0.1062,1210,England,34342.17363194789,United Kingdom
52.23,21.0108,37,Mazovia,47941.42736690717,Poland
52.3,4.7,771,North Holland,29987.521569730503,Netherlands
53.3478,-6.2597,396,Leinster,42544.80543154254,Ireland
54.6833,25.2833,601,Vilnius,52584.25494806965,Lithuania
54.898903,23.885275,77,Kaunas,51138.79966611862,Lithuania
55.9333,23.3167,105,Siauliai,51368.90276513302,Lithuania
56.9489,24.1064,307,Riga,53205.433297427,Latvia
59.95,10.75,38,Oslo,39487.6727950103,Norway
60.21,24.66,87,Uusimaa,51966.50986777845,Finland
