uuid,stake_weight,latitude,longitude
98638fd7-3d33-4934-9844-bf16229fcb51,45,47.369,8.538
38f997a1-bf2d-403b-805c-782ac86a4a73,35,49.45,11.0833
4b7c05db-f707-4bd4-9bfb-5150d7b83aa1,98,48.1439,17.1097
de2b4cca-86f9-40ef-a3f7-88951a0370be,104,44.4167,26.1
89e915d0-2624-4322-a247-21daf8dc1a29,538,37.3542,-121.9542
249f27ca-528b-466e-8d0d-766f5449e9bb,1210,51.5171,-0.1062
882f981b-4cde-4cf4-99cd-5284dac03c75,153,49.6833,6.1167
294c1b81-5400-43bd-ad34-b52054410e33,323,48.5734,7.7521
0cdc24ef-df03-4fb5-844e-b2e7587f38aa,303,50.69,3.1817
8df49b4a-86c2-401f-8267-2faba216d8b2,1146,50.1167,8.6833
3d0e2f54-59a0-41c0-b16c-a37d18354ffc,102,22.3,114.1667
8ba9cdaf-395c-4fe7-8d0b-da9c86fe87b2,46,41.85,-87.65
74158804-2b1d-4d7e-8089-391119121c3a,103,37.5665,126.978
56b1876a-fca6-4404-bb1e-8bcfbc2938ff,48,12.9716,77.5946
245f1d22-0806-49e8-a554-2bd8843bf8a0,77,54.6833,25.2833
51ecdcb0-b9db-46f2-bfb4-006b400100cd,396,53.3478,-6.2597
35e0fef1-3a43-4eae-8abd-e69fce290fdb,86,29.9667,-90.05
6d859216-cd61-4d44-ae88-36a52547e37e,105,18.5236,73.8478
160e9444-530a-4cf9-8007-321e28032ca3,37,52.23,21.0108
3318c91e-b9c6-4204-859a-ce4024277d19,194,49.6833,6.1167
8ded0b9e-40c7-42ad-8ce6-23daff0c744d,32,39.0997,-94.5783
5e4e23ea-f0bb-4a0a-9cbc-905f142be4a0,113,40.8258,-96.6852
52096440-ab80-47fc-b9f3-92cc9574bf1d,194,40.5456,-74.4608
a3e99c5b-f087-4259-9589-1d93a1191762,406,40.7269,-73.6497
4e896db1-8eff-468d-a182-63b92d7548f9,771,52.3,4.7
bddbca66-716d-4167-ae2a-3ccf54be330e,159,51.2333,6.7833
02035cdf-acfe-4a2b-8ef7-522bdda5cd5c,37,39.9611,-82.9989
90d55fc0-5938-48cb-89fd-9930a2e89938,33,45.5236,-122.675
37b75e99-9d16-4b49-adc3-dd5cfd506ec9,38,59.95,10.75
d5442ebf-ad80-4dbb-9eab-1a5fb9bf8e66,478,45.5081,-73.555
58adb70b-379d-42b9-8c67-1099708f746a,26,19.4333,-99.1333
a192532f-27e9-46fe-945a-5bd92ab60809,307,56.9489,24.1064
3629519e-0f8f-4446-ae89-dee0d1399620,95,35.6729,139.8174
5d4965ed-df09-4e2b-821c-a3ad4525b0d2,227,50.475,12.365
80521086-c680-407d-b762-adac9d051fdf,43,47.369,8.538
d19709fb-8a0f-4222-aa33-1b28cc80e08e,196,37.5665,126.978
b206c963-679d-462e-96c6-550830e5a59c,105,55.9333,23.3167
05de1fa7-869c-489b-9e18-cf20a12dd534,547,1.3667,103.75
642b225d-bcb3-4c01-b978-4d8984eddae0,116,25.0333,121.5333
b0363a86-60c3-405e-9740-94ceed99c12e,597,35.6833,139.7667
1c7968f6-2b56-4396-a975-69e2d7ce7111,144,40.75,-111.8833
f401487b-6861-45e2-b913-49d4e3ce2219,87,60.21,24.66
7d43948b-7efd-4fd4-b8cc-7ae40df403ae,113,48.2088,16.3726
f076804f-e6be-4b4f-aacb-891a3fdd009b,601,54.6833,25.2833
aba5ff44-0b5c-480b-a845-59fee7671cc4,416,38.9694,-77.3864
3e20a1ac-aeb3-4a12-8e52-532ce6366874,39,47.6097,-122.3331
871bf33c-b54d-4cda-9d77-3a05294f1176,222,47.369,8.538
fa92b6ea-4460-4b7e-8654-3adc8f684c58,100,48.8742,2.347
