server_id,server_latitude,server_longitude,stake_weight,uuid,distance_km
4,48.8742,2.347,100,Ãle-de-France,7.369656777215484
6,35.6833,139.7667,692,Tokyo,0.0
7,52.3,4.7,771,North Holland,0.0
11,51.5171,-0.1062,1210,England,0.0
13,40.7269,-73.6497,406,New York,0.0
16,38.9694,-77.3864,416,Virginia,0.0
19,53.3478,-6.2597,396,Leinster,0.0
20,48.2088,16.3726,113,Vienna,0.6938094988238865
22,41.85,-87.65,46,Illinois,0.0
23,37.3542,-121.9542,538,California,0.0
24,47.6097,-122.3331,39,Washington,0.0
29,50.1167,8.6833,1146,Hesse,0.0
31,1.3667,103.75,547,Singapore,0.0
32,52.23,21.0108,37,Mazovia,0.0
33,19.4333,-99.1333,26,QuerÃ©taro,183.25015344474755
35,47.369,8.538,310,"Schwyz,Zurich,Aargau",24.661338793003655
45,60.21,24.66,87,Uusimaa,0.0
54,50.69,3.1817,303,Hauts-de-France,0.0
61,49.6833,6.1167,347,"Esch-sur-Alzette,Mersch",15.047386192860449
67,44.4167,26.1,104,BucureÈti,2.1055083677949256
72,22.3,114.1667,102,Hong Kong,0.0
82,45.5236,-122.675,33,Oregon,0.0
86,40.75,-111.8833,144,Utah,0.0
95,25.0333,121.5333,116,Taiwan,0.0
111,18.5236,73.8478,105,Maharashtra,0.0
113,37.5665,126.978,299,"Incheon,Seoul",13.52211723909762
126,55.9333,23.3167,105,Siauliai,0.0
127,56.9489,24.1064,307,Riga,0.0
129,59.95,10.75,38,Oslo,0.0
140,29.9667,-90.05,86,Louisiana,0.0
147,48.1439,17.1097,98,Bratislava Region,19.966953371072417
148,23.7,90.375,32,Missouri,1587.5374986622178
153,51.2333,6.7833,159,North Rhine-Westphalia,0.0
158,49.45,11.0833,35,Bavaria,0.0
170,54.6833,25.2833,678,"Vilnius,Kaunas",46.53772610894149
185,48.5734,7.7521,323,Grand Est,0.0
186,31.5497,74.3436,231,"New Jersey,Ohio",1096.766997276212
222,12.9716,77.5946,48,Karnataka,0.0
249,46.8139,-71.208,478,Quebec,0.0
259,40.8258,-96.6852,113,Nebraska,288.0818000297261
264,50.475,12.365,227,Saxony,0.0
