latitude,longitude,stake_weight,uuid,GDI,country
-34.6131,-58.3772,309181167624925,0xbea2323e776d126d319e7f15bf41f624b8cfd19c0484e3b60e6d8ecf1810dd16,346033.27057160356,Argentina
-33.9258,18.4232,309803582273871,0x568fdb6acf26aae2a84419108ff13baa3ebf133844ef18e23a9f47b5af16b698,229432.15502175008,South Africa
-33.8678,151.2073,227558449833413,0xaf0843693e9446fac15e6e019ed3b5c7527e23fa66006cb4625fb844dddcb1a0,489652.1332830868,Australia
-26.1222,28.2056,569598761794455,0x6fd3ee60a084952162d62ead1a09f4ccd611f17608789ae45eba4f54967a295e,204315.15539786438,South Africa
-23.5475,-46.6361,226864125311258,0x52b48fb6e6883d4cdf244cde8d7e972ea2d8ece9b5e484ed5085aacef0e306a1,301003.8552879801,Brazil
1.2897,103.8501,8369464431051224,0xadbfddd3d10cad1eed59d2c0793df0bfd1d16255309c38b34b8351daaddecccc,176152.7191792507,Singapore
18.9888,73.1101,609299208680341,0x6214524acdb638d3ace8a705c7e9bf6f73992d1e030003ac18155e46f0b81b91,118046.28881626517,India
21.0245,105.8412,1051346378490423,0xa7375edf245124aa2531c74dcd0cbfb4c7aea02dbea32c7fbf72784533730874,130728.45850907984,Vietnam
22.2783,114.1747,4171198863326812,0x189093e65faaea1d0c1c367b7c78b4d2ea569fc3d1e7d20b226eec0361b1a116,134941.14823249585,China
25.7743,-80.1937,112335677769693,0xd2dc57e95669c9bf102cb5693fe8b2a8b10d330213d7ddd9fb417f86f183dc1d,172848.90243005267,United States
30.4433,-91.1875,413086640511725,0x66fcc9a1275170c140988e8fdc5104fef09568bdd07930f44a290bf55a5550ee,172033.75631291902,United States
32.7831,-96.8067,112266287341860,0x8e943e68e8e4a1ebb7e5a250b081af507d40e616283f38d2d2a2a4b6523c02ac,174447.47112370734,United States
32.8546,-79.9748,2672438496205407,0xa651c7c52d64a2014379902bbc92439d196499bcc36d94ff0395aa45837c66db,157482.69447102124,United States
33.9192,-118.4165,504961368191011,0x41484099cd0ab3821ddd330a0cb742cafd6a1621ec1b993f65a8c6c5108a114d,174757.21211719798,United States
34.0522,-118.2437,258687885105003,0x6fdb6516f550ceada7d1fb687b52e4d334c0805a856f17c85f1eb852cbe66ffb,174237.78423184654,United States
35.617,139.7486,3428970347009577,0xea733e480c379c61dae9cfb3f14a388f6a683d7a797c135f86b924fb7a2e8cdb,184914.2459626287,Japan
