latitude,longitude,stake_weight,uuid,GDI
-43.5,172.6,7.24546519119798e-05,16Uiu2HAm5LUdtgrxva73hcYUAFHoWma37jDbseC5ydSwmESgMGHF,0.004581348611933482
-41.4,147.1,2.9393367915610465e-05,16Uiu2HAmBBYEyeNEUQp3w6HgnZeJ5sM41kWR9NgxpHVxwKDGxJb1,0.004683854357160283
-41.3,174.8,1.4696683957805232e-05,16Uiu2HAmRirP7xhj866fCLjq5Ua368Xbrq18gMkxoudUi9Xsg8d8,0.004591887046550845
-39.1,174.1,2.9393367915610465e-05,16Uiu2HAm1n2nDmyXCkRhagrogo1mdYsBGTdNTBpKn2DtB4nubfCs,0.004590319422197189
-38.1,145.4,7.348341978902616e-05,16Uiu2HAkwu92vD2snS3V2X8AVMvGogq15JZ2XHfDmDYiwxVt6rej,0.004274700589317718
-37.9,175.4,2.7629765840673836e-05,16Uiu2HAm2hNEUP5TLJTS4uVxmLmedJUxZx9W9cE7kLyasSa1vstM,0.00467996517972991
-37.8,145.0,0.0015678422446186622,16Uiu2HAm3GBPNt1poXHhAP3PMFD4rFxF9Reu3xDRC7xKirw4iwvD,0.0042916038065923
-37.0,174.9,1.4696683957805232e-05,16Uiu2HAmQNzSqyYd7vJ4eNTk1nGTZqNCxcHBNYbZAyPSAbVQVyar,0.004655709938187501
-36.8,144.3,9.920261671518532e-05,16Uiu2HAmLKEvM6Ueq5QmFKipQxKV3CoZMDXKjLX2VhspNzkNouZR,0.004432837106285216
-36.8,174.8,0.0002564571350637013,16Uiu2HAkvv2yGBHRLUUvE9gCSsjjq3E66HmLWzTD6KVushiWSFfB,0.004651950904312
-36.4,145.4,1.454971711822718e-05,16Uiu2HAmSYJUCVeDPNMKajzypcFbYYdosbL5auB2sXcpf8M9bUjF,0.004240065327643559
-35.3,149.1,1.3961849759914971e-05,16Uiu2HAm34VRghX2vKAXAVp9hUjcKw9EofWJSvFd8fciXQ5zrHgc,0.0046097807292598695
-34.9,-56.2,1.322701556202471e-05,16Uiu2HAmUETcb5oPdes57ib6N9KEJRdpsw4KyM3JQipnu5cDpEXZ,0.0026776283689212564
-34.9,138.6,0.00010214195350674638,16Uiu2HAmH1zrBcU6FXqUZaVpnLSKDs7jAbuw4dk2q5EXCPMKjVNX,0.0035877550712540033
-34.7,-58.6,0.00028467476826268736,16Uiu2HAmH97Lu4ZFdwqP9mtdTgRbWbPCSTaKFHcx26ytCyVEz5xh,0.0027230917567896604
-34.4,150.9,1.4696683957805232e-05,16Uiu2HAkxBGKCQRBgrBRyicYxq76bYoDQjTnLYt3VT3QJiDAG2BK,0.004506118121788939
-33.9,150.9,0.0001134584001542564,16Uiu2HAmUSidL6v2NkBSBtps8vveq7TgSMK49d9v4ExnbdrYZnWN,0.004496999229449667
-33.9,151.2,0.006409517807678018,16Uiu2HAmSBKvogBetighaZvHoLSvmgVDA6ggqwcB2TsH7UFvqvRa,0.004494839671166123
-33.5,-70.6,0.0010004032770078023,16Uiu2HAmFGx3szNo9mdBXfH5HfcKcUk6HkcSzptFFengp2YV8MTY,0.0027484716332081107
-32.9,-60.6,4.40900518734157e-05,16Uiu2HAm4SPjD3mULWmfwNUYriwNLTVrxH5VudKwsC62NWXmkGDg,0.00267146578230228
-32.0,115.9,0.0001763602074936628,16Uiu2HAmTYnnJjKZcuC4uPA1NBKdzzdUYLLdTKnst1gGzd9DYTaf,0.002489124485803032
-29.5,31.2,1.4696683957805232e-05,16Uiu2HAkzHCLqLgyo1WRWNpmtL7cLvWiYb5Devw95HqXnAN3KvWt,0.0019072609047795287
-28.0,153.4,1.4696683957805232e-05,16Uiu2HAm47RhBSZuLcRsTnzGeeYmRsP4wKkKhtHsy9ZeS7AJwkf4,0.004358872425982545
-27.6,-48.5,1.4696683957805232e-05,16Uiu2HAmLi8oDnYzBGWppmR34QdmjhmXke7CevGdMe9yhLqMnagy,0.002213156329169017
-27.6,152.9,0.0005694965033649528,16Uiu2HAm4VT5gWbihyUJK4s4fTvQRkRV5c8PfF7K7Ah19rrcrmqn,0.004367881527555435
-26.2,28.0,0.0007637866652871379,16Uiu2HAm8tB1FiarP7zpVg1s6XvnqtRXNhKb6qVTiuS9HwJStNVm,0.00185084152517559
-25.3,-57.6,1.4696683957805232e-05,16Uiu2HAmV3eCWRupBwXDCHt2fVVu4Z6LEKnkf6oG4st4cd8jJ3h9,0.002433120297684997
-23.5,-46.9,1.4696683957805232e-05,16Uiu2HAm6SCbi2Wv7fDHAFUeiGxu9v5wbCKnWPB87oSwbeCzSGgd,0.002101602834224943
-23.5,-46.6,8.553470063442646e-05,16Uiu2HAkwX9C57toWBfDvUcmnVqRNUD6D98NrCNnCMbsdqtBRu3e,0.002090244803314268
-22.9,-43.2,2.851156687814215e-05,16Uiu2HAmTdtbzt86YWdddq2j2CcGAQVLX4fCVmKQb6P4LkvLP8zw,0.001998370489877976
-21.6,-45.4,2.9393367915610465e-05,16Uiu2HAm7FmuHHb7nddRbXU5KXjJ3Ukh4UqHdUzn37MNEGTu3Q2C,0.0019943327895365513
-20.9,55.6,1.454971711822718e-05,16Uiu2HAmMEgxzCkiJ6BfmoKxkzYVK3kZYgiQQzwiNEWzjrEgdQ2s,0.0018327205695878206
-15.8,-47.9,4.40900518734157e-05,16Uiu2HAmMHLYAmXWYyDhrCJANJY71WwSgZzNgPNT3s7oJnJmqLZ5,0.00193885448676657
-15.5,145.2,1.4696683957805232e-05,16Uiu2HAmBK8ZsRzoxjg1AZkqxFcpUgXZXhoiVcaAGvVjhHKuUUC7,0.003296086389482548
-8.8,115.2,4.10037482422766e-05,16Uiu2HAmHjvoJ9RjeQPn7u5WnQrkMRf4h23KGqr58sMxj5UpsVaf,0.0019771079861993137
-7.2,112.8,1.4696683957805232e-05,16Uiu2HAmEY7bUYkScmLMerU8VmiU8ns6Jrik76YFUmXi9XcomQA7,0.0019222171997042498
-6.3,107.3,1.2933081882868605e-05,16Uiu2HAmGCciFW3L1FfBXyUwHBNcJLU4S7SsfgX2D5TmhoERhnnL,0.0018799200848480663
-6.2,106.8,7.260161875155785e-05,16Uiu2HAmTv4j4YD7vm6R5szmgWvRyWvjtnoJtH6XXk67Wbxi6U1H,0.0018736980646868531
-6.2,107.0,2.8805500557298257e-05,16Uiu2HAm9RNbjedx3o9wvs3vBN3TBwxs9toKpai2HFFUnCZXFii5,0.001875519921236755
1.1,104.0,1.3667916080758868e-05,16Uiu2HAmK2yRxiwQcqd2LhnB97yh5ZY2a84rdMwqQbrUDFp6HMbv,0.0017041013133837965
1.3,103.7,0.0008897372468055287,16Uiu2HAm84oTUgkxnCyZCbqC9J6Y7cvPqz3h4mWrWS2ydZ8b7QCZ,0.0016983704663377883
1.3,103.9,0.022836736301514816,16Uiu2HAmKbyFENG3NeNxwpGG4jnyavNjvB3bY15nmvXkKqthGZgk,0.0017000982266656656
3.1,101.7,1.4696683957805232e-05,16Uiu2HAmRvqRpPuuXzJjXkqL51UY9bXN1DoaNnTTmSsDG7WLN2Gi,0.0016311710169820788
3.3,101.6,1.4696683957805232e-05,16Uiu2HAkyhBN77tCjbMLHYUCkFcw1QSJKXUtEtJTMwCUTYTwSSQS,0.001627289897281399
