latitude,longitude,stake_weight,uuid,GDI,country
-43.5333,172.6333,3,5e7c5636-8e9b-4c95-96f7-d42f48680685,8322689.090313795,New Zealand
-43.3044,172.5836,1,68485f5d-ab93-4231-a68e-b90f5af9c418,8316408.505785087,New Zealand
-42.8794,147.3294,1,d68b0c9f-b397-48df-81f6-a558920b0f15,8039560.822032659,Australia
-41.4388,147.1347,1,6724e6d6-0852-4cd9-badb-e65bd4037617,7924326.407948051,Australia
-41.2866,174.7756,4,ad653814-ddc7-456d-821c-4212bef521ef,8120693.049676603,New Zealand
-38.1994,145.4908,1,87681097-00d2-498e-96bc-60e5a80d7701,8213936.436367874,Australia
-37.814,144.9633,32,bd6f6af3-dc41-40fc-8fdf-a4a2612534c2,8695791.51670743,Australia
-36.8485,174.7635,17,b4a19692-8687-4cf4-a66f-dcda97a2e9ec,7974701.779958706,New Zealand
-36.3805,145.3987,1,e3308565-def6-46bb-8cf0-e7d7b4a493ba,8486814.375837069,Australia
-34.9287,138.5986,5,104bc79a-7b3c-44ef-970e-5a40b2ee409b,7562297.912892596,Australia
-34.9215,-57.9545,6,84439d55-63eb-4561-a3ae-8c3fbb715765,6279043.030228026,Argentina
-34.9033,-56.1882,14,546c6b1a-caf7-417f-be97-e7bf8bb8915d,6265506.942615619,Uruguay
-34.6131,-58.3772,14,59aa025b-9ee1-44bb-8d94-e2bc57bde76d,6261670.045062007,Argentina
-34.4775,150.4204,1,0a1e4a48-c17a-496b-b33d-03e8187252e1,8023460.655868346,Australia
-33.9258,18.4232,2,c6554062-6617-48dd-b952-b1e4d8f2899b,5610236.64108251,South Africa
-33.9092,151.194,57,4df7a4dc-4806-4e27-a0b9-258aafba8145,8173906.658541861,Australia
-33.7338,18.9752,2,b7665af9-bee2-47ef-958e-1b5c8dbc86ca,5630106.355166177,South Africa
-33.4569,-70.6483,5,983445e3-278a-41cc-8796-1b595a9b414f,6171336.830446146,Chile
-32.9468,-60.6393,1,21e800a6-3e79-4885-ba00-ad3941853817,6146373.299646387,Argentina
-31.9522,115.8614,11,247ed300-253e-4678-b896-a8922a5c9174,6538241.793151175,Australia
-31.77,-52.341,1,dc1cb6c1-0d73-481a-b2c5-e55cecc2e085,5828193.884199755,Brazil
-27.5535,152.9289,19,6c244975-46e9-4de2-a417-2c8e55d01243,7973241.146409583,Australia
-26.8185,153.0654,1,37fd1840-675a-4bc7-aa33-fb4961ec667f,7945756.585403642,Australia
-26.2023,28.0436,9,5f2e2368-97c1-479d-9111-b6a44dd0b393,4995090.86774702,South Africa
-25.2079,-57.532,1,ecd93f1a-0bfb-4c0e-8117-65cb2709c4d3,5595562.711150567,Paraguay
-24.7859,-65.4117,1,45ec3c41-42eb-41e0-8369-3e9c36f8336f,5635168.770967428,Argentina
-23.5475,-46.6361,12,d8125e48-c348-41ec-a608-ed2c95a63044,5298922.391326102,Brazil
-22.9064,-43.1822,3,242021f5-1384-4374-be1b-e94cacafbbcf,5328063.741863562,Brazil
-22.9056,-47.0608,1,a1719964-8b26-4861-9cc7-a3aedf7e7651,5253066.315468863,Brazil
-21.5514,-45.4303,1,46fb2be2-2cf4-4881-8194-c7e159572bfd,5159715.166534564,Brazil
-20.8823,55.4504,1,3e6bb34e-19f3-41a9-b170-42b73d3e9e69,4994546.541174001,France
-20.1619,57.4989,2,f90d4ea4-c664-4853-bbf0-59014beaeec1,4997213.943185793,Mauritius
-20.1436,-44.8907,1,2f12ace7-1916-462f-a2fe-adc7397c4694,5024913.528481868,Brazil
-19.7697,-43.8514,1,6a50efe6-8e73-40e0-89f0-40037f21e3b9,5173626.866020963,Brazil
-18.9743,-49.4621,1,309e606b-d9f2-4950-8971-12ede3abb1cd,4977657.432484181,Brazil
-18.9186,-48.2772,8,57f12374-b154-4e83-b4bb-7a3a05642151,5025202.213369507,Brazil
-16.6786,-49.2539,1,e50879fa-5b07-437e-9106-c20342907961,4798017.447951586,Brazil
-8.65,115.2167,1,9123aac7-09e2-435a-b7f3-c9d1fd639334,5515104.998319349,Indonesia
-7.2492,112.7508,2,e5220c14-7768-4f2c-95e5-53c2d74d636a,5404704.602382648,Indonesia
-6.4,106.8186,1,e8664326-58d6-4df8-a2f2-013f42e37194,5225821.1945801405,Indonesia
-6.3264,108.32,1,3669f08a-2be2-4445-87c9-34ba3bf69f62,5234814.633450699,Indonesia
-6.2146,106.8451,1,4de02520-d767-4971-bdb4-0220e85b19c8,5218786.293272788,Indonesia
-6.1106,-38.3053,1,7c902ff8-a251-4497-8f3d-7852bac058a7,4559730.484308007,Brazil
-3.6861,-40.3497,1,e2dc858e-4b29-4eb5-8199-15af61e33a5c,4413877.259734853,Brazil
1.2897,103.8501,163,13d767b1-63a6-46b5-9c3e-880785456e7e,4845058.982375046,Singapore
3.1412,101.6865,9,9be6f9aa-2db7-499c-bf7a-b29909015863,4714693.268384597,Malaysia
3.5833,98.6667,1,e057a5e1-a2b5-428a-9cb1-78e490dfd8ce,4635743.144004796,Indonesia
4.6097,-74.0817,1,b0da5194-2c94-4b49-aa8e-466315215635,4006469.1898058224,Colombia
6.2518,-75.5636,1,251d4c37-a9ca-4f82-a140-fe842b76e10c,3934562.793202526,Colombia
7.8906,98.3981,7,0360df9f-bd58-4c27-957a-479e06e848e5,4455391.309550054,Thailand
