10km,15km,20km,25km,30km
346033.27057160356,346033.27057160356,346033.27057160356,325051.5510378218,325051.5510378218
239085.96181459748,239085.96181459748,229432.15502175008,219760.9797080867,219760.9797080867
495965.9481519287,495965.9481519287,489652.1332830868,477578.50250343874,469249.46671088005
212943.8520535679,212943.8520535679,204315.15539786438,195249.31359422262,195249.31359422262
301003.8552879801,301003.8552879801,301003.8552879801,281600.4647990198,281600.4647990198
176170.24368722204,176170.24368722204,176152.7191792507,176152.7191792507,171476.2175792402
175992.8233069051,175992.8233069051,118046.28881626517,118046.28881626517,112466.08844287618
121914.07197904865,121914.07197904865,130728.45850907984,130728.45850907984,127986.9147113308
132931.6638504185,132931.6638504185,134941.14823249585,134941.14823249585,132845.28576515947
137532.4009809875,137532.4009809875,172848.90243005267,161964.73105468188,161964.73105468188
172848.90243005267,172848.90243005267,172033.75631291902,161987.162182698,161987.162182698
172033.75631291902,172033.75631291902,174447.47112370734,164815.15506069802,164815.15506069802
174447.47112370734,174447.47112370734,157482.69447102124,147403.0014239144,147403.0014239144
157482.69447102124,157482.69447102124,174757.21211719798,165958.6636969711,165958.6636969711
174757.21211719798,174757.21211719798,174237.78423184654,176098.4409049394,174938.8827151677
174237.78423184654,174237.78423184654,184914.2459626287,154933.3285981382,145837.67692100897
190239.97113024196,190239.97113024196,164057.7288181803,154476.8502113448,154449.85154212933
164057.7288181803,164057.7288181803,154476.8502113448,154562.06580017283,127966.07144486553
159134.2146220012,159134.2146220012,154562.06580017283,127966.07144486553,130531.32770862283
159243.43835379268,159243.43835379268,137535.45415323734,130531.32770862283,124741.27195712656
137535.45415323734,137535.45415323734,139913.75052125825,124741.27195712656,124393.42063455393
139913.75052125825,139913.75052125825,134256.51498742984,124393.42063455393,142165.04254766498
134256.51498742984,134256.51498742984,133899.38648567884,142165.04254766498,120475.64035832179
133899.38648567884,133899.38648567884,151178.8642766786,120475.64035832179,120299.04661980935
151178.8642766786,151178.8642766786,129670.3158289999,120299.04661980935,145113.52514602678
129670.3158289999,129670.3158289999,129486.2525389135,153564.2097464487,116993.26126468959
129486.2525389135,129486.2525389135,162800.54817167463,116993.26126468959,121971.78662928776
162800.54817167463,162800.54817167463,117911.21793079992,121971.78662928776,150342.57793997074
117911.21793079992,117911.21793079992,122620.63499044656,150341.62535229337,114397.94234782434
122620.63499044656,122620.63499044656,159659.61852382042,114397.94234782434,120172.28511478499
159659.61852382042,159659.61852382042,115221.95610943882,120172.28511478499,105829.39901600483
115221.95610943882,115221.95610943882,120809.9219866592,105829.39901600483,117188.95917933482
120809.9219866592,120809.9219866592,106710.40466933852,117188.95917933482,115715.74314066043
106710.40466933852,106710.40466933852,117431.78723447768,115715.74314066043,71961.6213884855
117431.78723447768,117431.78723447768,115736.15169510011,79699.93561232527,115992.64510709087
115736.15169510011,115736.15169510011,115635.48475434979,115992.64510709087,114728.30539810775
115635.48475434979,115635.48475434979,81151.01099101192,114728.30539810775,116314.70889799712
81151.01099101192,81151.01099101192,116349.57447892122,116314.70889799712,114795.8980975929
116349.57447892122,116349.57447892122,114879.97730076041,114795.8980975929,114142.27605793971
114879.97730076041,114879.97730076041,116807.09146462889,114142.27605793971,67196.16844200582
116807.09146462889,116807.09146462889,115261.32068747608,74549.84080016345,70448.53877959574
115261.32068747608,115261.32068747608,114410.02189400133,77054.38750515606,84865.75234060074
114410.02189400133,114410.02189400133,76272.43980482624,84865.75234060074,68058.8230604022
76272.43980482624,76272.43980482624,79554.67214497211,75116.66315292548,
79554.67214497211,79554.67214497211,86298.35370873613,,
86298.35370873613,86298.35370873613,76937.20171388297,,
76937.20171388297,76937.20171388297,,,
