10km,15km,20km,25km,30km
753305.729660967,721605.4842435761,676925.7094501117,658187.7553553905,648846.2091964573
907152.5159186654,892074.0255754493,826681.5860823569,784606.8921715632,776277.8563790045
907130.4642344197,892024.3361822352,826578.8713545729,784512.1475150889,776202.2188273162
707327.7644899155,681675.6726056283,648976.1462576636,620844.0429796311,611442.7148964056
721452.450275711,698029.9560857867,672253.7020915293,654473.6031130245,637590.5758516148
669790.8762113275,648046.5207039186,624472.9344319075,608847.7625165487,593405.1399354339
668476.6681018212,646780.7311868026,623257.6296790687,569883.174249102,556159.4923958101
667858.9851050719,646189.572500631,584997.5965920072,393485.3749652881,380880.1923258113
628258.2935073833,607885.0103378061,410627.4859224839,539254.8670764541,527528.2359770946
435761.4144898897,421390.71746276313,565140.0524069559,390517.3634347316,378470.40515662835
606690.2153936167,587450.981590849,419691.23089258396,372476.69817607646,360493.94778546935
464041.4102985794,453081.11491202284,401707.3173407962,306630.72771810903,299346.0667299673
444583.6316323208,434435.6421625774,320648.29950996715,302175.9363478061,294849.68458271853
350438.8116079325,336309.4426161084,315846.24973676325,277350.3981353486,270549.6608323597
349803.9318726258,330794.99704614736,289948.29398284276,280875.10737769044,273837.69214916823
345259.4718536826,302847.6928460248,293376.18800730363,313383.344989384,304297.756242012
316637.38663038576,305983.60326383356,326702.633239048,531452.7300438427,530639.322700295
320419.9898677779,305640.273580638,554940.2539127701,545228.1408980851,544132.0485806671
320090.8143012469,347849.6585427797,568488.1309209105,545183.0174187806,544041.5991694335
369096.691124814,577178.2141437101,568518.7921552609,185271.66234970556,183815.26297954458
596164.1287105031,590830.3059250253,568468.4054446333,264447.1870170416,258190.73233271306
609967.9881623624,590861.5947796901,192570.40272374966,238473.45975829812,227743.80149555486
609997.8802526584,590807.6720881821,276169.74600994796,346823.7617963301,328759.5537486808
609932.0734025133,206586.7904335647,257212.19783844604,474271.6598561815,465281.49185612024
209953.32486399965,287910.43029467616,359275.73440205277,474434.6240197261,316854.5310590501
301101.1788300798,285587.90727459226,497956.475074355,325763.1227972765,223937.37639305857
291399.1366593303,380519.6359376205,358675.3297219081,234554.7057217306,261190.75847069724
401869.3618577456,519531.89428039035,498100.2072769903,268244.23183211306,253363.03772859555
537229.9765324484,379887.04954389,338196.63580403774,259617.30506278313,251709.77684228815
401216.7087449545,519677.158216311,253176.65469538837,257890.913996609,252331.913653413
537378.6220886873,359186.8784613597,280094.28778560617,258564.48994197825,268834.9178322338
380379.5297717756,281356.76092611975,270979.7510028301,276703.60852964286,243336.64943370342
287019.1226954624,293079.70084607514,269190.17105542065,249826.19606700266,248988.2246696657
308235.3746805865,282153.8268440686,269856.60955222126,255679.69705276715,246282.08986568855
295481.6038171408,280285.177033487,280809.1412204669,252222.22022146307,166620.26168773512
293508.66252907366,280182.62046400993,261126.50932783517,167672.7107964372,245409.4463282202
293420.15487728146,280981.5237513969,267124.70253463363,251287.38791967393,244787.026458733
294303.0410900463,297081.08964500687,263240.6047999886,250624.077838694,282344.09147064056
314896.5745879951,272736.2404069141,174467.31094524814,290496.8418813787,244683.59021919966
286656.4836282867,279216.9201080328,262271.6010029658,250543.59115356492,199737.9595381746
293607.85508903855,274418.56040052825,261569.81566546674,209946.815906799,251802.1207305
287353.07052600046,187831.54156367356,294538.78842245246,259006.03712305657,284012.6653364444
190367.39350630858,273500.5999043181,261463.37837361867,294155.39158086,174605.21021762778
286353.0395915021,272831.76331055764,219447.37801660426,184632.22176227067,271808.4866331833
