10km,15km,20km,25km,30km
14616630.251141032,11692594.393915344,11052631.564922614,9673247.20119177,8998049.944210656
14997261.508307664,12038034.651768912,11299929.540092746,9938766.126833595,9014281.095001454
14696397.843330739,11709223.34979903,11078055.832963107,9719038.550008954,9130603.947812857
14717889.1599605,11718512.069537913,11074273.895398254,9763002.171844281,9050559.881247472
13637743.274116687,10994529.058010899,10312834.640223248,9144014.310023433,8441068.151004842
14753756.597298678,11965960.233073514,11290546.790848004,9772334.202255772,8994215.402658617
13972263.570374534,11067577.282395056,10353614.12430598,9185297.269391032,8580739.538743613
14630922.596563747,11887028.929841395,11232030.342746206,9737109.712228382,8961277.199623803
14466814.00688309,11454838.546895375,10694343.406975718,9463887.300990066,8779093.112182992
14619594.113312153,11877466.929187244,11222961.568464817,9068255.730371797,8467758.598734856
13662728.819157116,10939115.350932809,10229276.103454836,9714702.446054311,8913405.950805895
14896520.02301053,11791494.40181193,11121224.842587765,5532942.368582152,4974081.602483934
9663481.720895002,7096712.6271496285,6459853.273855385,7765510.114924419,7225846.479101805
11758022.0229608,9280579.368111951,8655559.379275834,5555823.429287008,5000163.659674455
9740214.413722526,7194794.514066241,6569534.967689764,9509814.17811322,8716451.94700611
9731479.704113528,11519685.23344557,10871135.90492191,9490555.941647192,8698838.245190315
14594512.963589698,11496338.285228886,10849136.3223004,9486667.658192214,5116010.445297716
14564817.380885078,11490628.825773701,10843926.327586439,5682213.177868341,4918026.308565076
14523144.620705325,7196940.011526309,6630764.628861086,5473432.166257742,5027980.657379542
14539534.110474262,7049192.284337097,6444985.861406342,5374272.983092608,3866241.035978387
14517213.334037764,6497867.361103039,6005082.38756309,4117280.6889897445,8502354.495684516
9813366.031478902,4975672.839576135,4601320.236534568,9122583.583218345,4081083.6147004636
9604882.25782952,11142040.588613387,10515901.548595136,4563973.988190665,8492055.31139199
8080647.820200847,5825185.305313919,5339301.496979575,9128860.42677434,3760001.816257109
6227374.061794238,11163420.56901066,10537636.257924339,4000338.157083307,4487700.940194059
14121984.643542545,4823699.161286348,4465206.906442302,5012752.463692881,3795340.0264772773
7960365.263639589,6450624.055802419,5869970.718534257,4297608.9839939205,3787107.0436742124
14143166.706094433,5545228.735265013,5070175.572751784,4269922.3668924365,3665303.7370788776
14165595.775432264,5507935.674525585,5042774.005747759,4079436.873344341,3648023.0139563256
6021439.080925797,5263346.387874012,4821124.656897399,4092499.6907027387,3742958.992715242
8812684.955705814,5257076.391360041,4811383.591978854,3973403.548844227,3549863.8252271907
7466216.679357966,4777983.9050332885,4421489.594645893,4000278.1929249153,6531148.286111405
7350639.109689489,5113617.386363467,4677540.636049542,7027162.278898632,4001425.297498563
7001834.548734011,8501626.534189254,7951900.533003046,4306549.041832744,3912116.62275103
7005082.186390017,5185107.554549775,4769828.272532341,4210184.390228317,3786248.359228949
5949961.906468592,5041472.111916106,4637402.716036056,4075052.63745287,3796979.9265308715
6845449.121518359,4923375.4629186215,4535359.744334037,4084910.9746156326,3453107.5776240565
10709418.149534697,4906869.255275716,4520348.946803311,3720115.5266570784,3441388.7916494003
6440847.525247536,4911726.404223835,4524744.226646839,3707557.7243179725,3317210.2602888406
6278349.948520338,4466599.8489979245,4111192.0444279215,3576716.3347830586,3260997.970196365
6128503.664889726,4451458.356114675,4097366.2157648364,3505467.8528751167,3678481.859041165
6107884.978110855,4456049.541130926,4101534.4858429474,4075920.501469438,3202073.8207366597
6113981.545171135,4454293.387468602,3935245.6661171475,3454521.4269318697,3096421.176036756
5565942.311522347,4279361.708271192,3925882.3563704845,3340842.627313677,3397174.0172691457
5536190.418472416,4269153.232887244,3899464.849098538,3766282.064971767,3213756.501219928
5549899.513194479,4235763.348286353,4744246.457950736,3460910.86459586,3128908.1977910106
