10km,15km,20km,25km,30km
10709286.186948799,9248737.707468277,8322689.090313795,7479228.385652143,7138440.398191018
10701272.823713232,9241899.670998752,8316408.505785087,7473697.851387657,6825207.90456606
10383089.512494687,8931321.406686548,8039560.822032659,7223508.544723037,6731084.551033606
10227129.41871644,8797420.357998729,7924326.407948051,7095206.4657519115,6937581.666750443
10449174.481746003,9012841.190723386,8120693.049676603,7255561.631985193,7012231.774270922
10473403.26572224,9085430.761596268,8213936.436367874,7373907.744772783,7282121.4531868305
10841485.468853567,9567788.316074705,8695791.51670743,7757858.616971309,6816212.755805525
10293419.135047894,8887099.596266406,7974701.779958706,7128865.050607505,7211724.509915246
10732894.766758865,9402730.346302936,8486814.375837069,7603844.463265834,6301698.473721241
9775295.005031044,8372176.032585954,7562297.912892596,6675303.2331803255,5036453.280295061
8757399.31456254,7347136.877071406,6279043.030228026,5432487.985200983,5022776.983144974
8745429.691678246,7333177.959928211,6265506.942615619,5418124.475563927,5022599.349671579
8732465.093609648,7326729.684326049,6261670.045062007,5417721.217729153,6791069.807031835
8729718.1257671,7324624.6070604,8023460.655868346,7144992.198361424,4710124.608276722
10487371.02991845,8964232.874409877,5610236.64108251,5043390.644969089,6931503.836193972
7297488.452716606,6338148.965747543,8173906.658541861,7283915.2194042625,4730659.155198472
10673637.463238487,9142116.840436457,5630106.355166177,5063757.401382989,4940489.596706316
7316534.780997483,6357725.503222462,6171336.830446146,5326235.027447122,4926094.111091346
8621116.418816555,7236622.473256346,6146373.299646387,5316360.276558988,5500780.056509314
8607368.761045342,7225162.8984007025,6538241.793151175,5829084.963458927,4709028.943300272
8577344.706405519,7195823.793183566,5828193.884199755,5069929.509601103,6772232.738474118
8477380.445286367,7406410.368283072,7973241.146409583,7114613.055939557,6749483.214206676
8130334.779573432,6842550.570042365,7945756.585403642,7090703.308003569,4268999.6981857065
10407304.049430493,8943798.712844921,4995090.86774702,4523004.095593092,4462487.7889366
10400875.608580183,8912910.96938573,5595562.711150567,4824443.158290131,4494982.700569105
10370643.554610973,5626236.25717506,5635168.770967428,4847918.424096809,4255590.532780567
6372794.856516821,5623239.541311489,5298922.391326102,4627501.438225589,4271060.028241433
6369437.048012691,6566993.985452156,5328063.741863562,4608990.686352061,4226782.564948952
7861372.176293782,6607277.322199664,5253066.315468863,4576035.908474678,4147881.5495329225
7888503.630532749,6173220.280113959,5159715.166534564,4501560.873013371,4306848.474798979
7337199.460193143,6172178.902301274,4994546.541174001,4542544.024269707,4293986.099935648
7335819.386841803,6187946.1949191475,4997213.943185793,4530208.405206067,4047787.772471106
7317903.929374527,6121478.205741278,5024913.528481868,4405785.496551006,4111519.009893489
7277334.991113755,6016376.684855775,5173626.866020963,4438466.67399133,3983691.1637402326
7157821.3935390385,5597667.116374851,4977657.432484181,4289601.3359679505,4041448.8657172085
6309017.608231335,5601883.410993669,5025202.213369507,4376560.466646506,3847903.870015105
6314216.817592623,5869141.510624146,4798017.447951586,4146009.1541168047,4574816.480943713
6974718.7768800305,6005105.812973386,5515104.998319349,4884582.84416034,4457167.536672299
7097609.428724435,5869676.182275733,5404704.602382648,4800061.958884738,4334525.844219426
7025361.014901947,5867531.815116352,5225821.1945801405,4639736.42016417,4338014.875638663
6984387.69554545,5629730.335483641,5234814.633450699,4645413.299319638,3773121.0151138194
6757393.785858532,6171241.178843669,5218786.293272788,4058404.3749637795,3650983.838739721
7101970.680529031,6058602.730037742,4559730.484308007,3928244.6849519936,4017536.393376231
6983374.604972925,5827723.888653995,4413877.259734853,4300940.906397172,3908068.2975658006
6722383.853188442,5841684.038626326,4845058.982375046,4183910.105800291,3843590.0139741623
6741927.05335808,5819866.862325217,4714693.268384597,4113715.029516373,3199398.3543898384
6713341.569981997,5247870.347723829,4635743.144004796,3444903.811156875,3144910.6720198365
6078347.694345654,5080592.513320572,4006469.1898058224,3385889.4480701154,3693525.1343463496
5884705.478162964,5398603.856400978,3934562.793202526,3953532.661967841,3003677.3957708855
6227543.10291487,5392694.627240373,4455391.309550054,3943227.3643832775,3670627.4424072276
6220817.432271881,5390044.893642252,4443815.762066445,3237793.266034383,3018492.2827221523
6228630.288454923,5265917.949225645,3763197.5463987733,3929672.618326422,3314494.9719671803
6217728.638594359,5175651.897295767,4427515.575400889,3226093.5159530044,2900470.4529455244
6073833.579061744,4700917.405205375,3749353.3087864667,3511330.4558542054,3733502.440658816
5968863.908316525,4615336.847972444,3954050.106970971,3121879.038608574,3199829.320750726
5579260.810454032,4974631.725538973,3631348.214484086,4000574.227455794,3557710.9296798017
5472043.172446008,4961701.918850702,4507454.481226249,3405859.3010853203,3545828.754271119
5737657.061283473,4421998.3887364315,3838175.391787315,3809879.025325028,2596124.122544612
5722785.7262082705,4944013.507199502,4291520.209237493,3797161.295887719,3370887.6626942777
5239162.630035804,4412327.347089441,4277351.364954024,2793345.73791534,2992866.6273968243
5701960.441706673,4398024.845386781,3249080.6627464304,3609780.1177198784,2781812.336842436
5224634.482676395,4263655.262786,4064531.7730598864,3167285.2209461834,2832532.743903836
5006647.8522577295,5039212.008514297,3548079.288489481,2974809.1981096254,2790838.43814752
5075539.411669937,4259611.751878856,3451846.9785365206,3029515.290178864,3687720.506225381
5814489.689489939,4792514.35367799,3511324.163921835,2986289.760185138,2605489.3382800985
4867803.646539367,4776617.18534454,3500374.1149664996,3883327.1394808767,3406305.087605298
5526885.980703089,3814112.100296606,3462394.548671886,2783972.3265286954,3406213.435455853
5508646.180258389,4525302.795445909,4445914.596972039,3651055.8669376946,3685111.554417249
4537496.602354423,3978701.1773847193,3236233.848223175,3650987.826465145,3100254.7472121418
5218554.429953139,4059350.896548959,4110679.3475527195,3881900.0414785333,3482268.449217656
4516595.987513797,4130234.7838826007,4110398.2112035765,3316387.6737347697,3568234.9848905224
4767843.939448758,4117360.075976242,4446927.973402299,3725656.3884117333,3554411.2896107067
4845552.88199842,4076479.366398895,4450544.729068961,3819166.4417297198,3470127.7498481423
4845691.077326833,4069683.56834788,3745103.524163808,3804435.1939999606,2644479.1768930363
4830260.916283679,5073882.515001905,4196676.059169695,3710563.2677725246,3520029.6315925815
4782248.829680943,3801542.290400888,4198404.6156215295,2797658.698398035,2509825.694544764
4775702.472529688,4593790.956820626,4268859.913325838,3768524.9707633406,3459100.705791435
5944882.290077897,4593491.278847039,4252315.979418569,2643787.019176396,3215432.79458169
4472458.789591154,5090083.705469315,4176078.9337584004,3706374.6725515625,2501545.3530960367
5298182.898663942,5094474.573492482,3063295.462970737,3447489.9780366197,2519996.629490469
5297693.44644832,4171537.976747569,4212990.001439112,2635334.1562623377,2339442.189597954
5966473.845919132,4687378.53226844,4197666.931191893,2655379.047614353,2499468.639851816
5972060.793265637,4698695.223119625,2930373.048854506,2494862.3740855046,2512028.2015634715
4813895.327871143,4684024.715952344,4158460.6503965845,2680264.428219328,2320799.2378700124
5412486.714074661,4774952.824684586,3883542.0890456387,2489205.5826413385,2317153.0701172496
5406778.595835538,4756338.161808204,2943111.3290783586,2687242.290362076,2305470.048199759
5422376.760044691,4671096.016288053,2965793.4290480064,2474781.257386412,2307100.6805098364
5407011.996641583,3428536.519650483,2935767.7058663294,2471842.4192653797,2290714.105888795
5528759.331785393,4713284.220763948,2897829.3021629765,2458333.798804172,2274477.726987862
5507228.575258885,4697319.79461679,3091405.9361727685,2461098.560986646,2256201.791782467
5387681.253147142,3313414.229506941,2891462.6885241847,2442517.5671395673,1950301.5515510926
3899495.60056334,4655589.746503709,2886128.9119280055,2426749.6478037573,2242597.2671927116
5458605.752463859,4648434.088640349,3099228.3783011227,2407137.2454696577,1936610.495992814
5452496.443795607,4329359.9171953015,2874699.7487431457,2400476.0044689416,2224056.0348423985
5441682.021512334,3303199.496804062,2879379.871755989,2085210.6363181316,2653365.126070416
3761972.0788688264,3340028.161813631,2868328.934697313,2391594.7997630895,2372457.3502441337
5396186.761411428,3294992.825304439,2855632.3025542316,2070857.8867675026,2216888.037698035
5389423.696118672,3396815.800171044,2866688.4228906026,2372421.217928031,2210914.345763638
4996678.975069712,3653163.6737297787,2838959.443229864,2816814.5664454997,2196096.527923975
3750840.4398785844,3389175.3905792125,2837254.7032217225,2539036.5821415684,2313775.430424651
3780969.136543212,3382952.764141749,2827623.972828379,2364884.0573438364,2303753.6311598495
3741447.815616385,3653984.419673322,2804674.15485556,2358310.7118570576,2188562.250666254
4006159.5560835465,3369303.367032948,2797120.626429413,2309647.8747444833,3140957.493075592
4290237.371657605,3375443.787725349,2352461.566489327,2472558.1616416182,2192226.7391255978
3997455.465800377,3361812.398541994,2786890.46017179,2461727.205364307,2322925.4262430323
3992169.0005942406,3346665.963599126,2336411.480421199,2334333.213316759,2312324.9921922456
3989675.719005198,3360479.5364741813,2765365.9543906567,3359083.2712256135,3326584.687362123
4287042.94386468,3328354.633889389,3169902.833810847,2338528.070469953,2177912.570048656
3973815.4355326965,3324861.9226170233,2930956.91692548,2485653.0697210124,2246612.6585564837
3978274.518587142,3315777.4778385456,2756028.750883181,2474205.2998482483,2281079.839948709
3964631.492421127,3288550.3671199814,2749038.6995774577,2450791.2279555406,2297463.393238817
3946843.589920398,3288353.5542121483,2571211.212778396,3564091.9757974595,2270854.083161112
3959917.2839718466,3279494.855005918,2846456.8232660564,2322931.782221983,2157905.1173845404
3926476.5931907576,2713467.8907255325,2834292.555318603,2400339.231310426,2408347.6329809134
3920632.051071885,3265180.7479059193,2721133.0359700974,2437314.047395338,2196046.200324133
3906992.4579366664,2694515.112641889,3784400.2803554423,2458182.1937600183,2166732.9129110696
3874057.262404861,3241268.983329821,2725040.372224558,2426328.9948010114,3083925.584904469
3873456.9819320254,3241071.458506822,2870050.6979079386,2302109.1105963965,2258648.33762375
3863634.066097045,3527021.6913268915,2857559.8293971736,2574240.547975021,2236305.9059412405
3128324.196472789,3232445.0587770487,2821821.695798547,2344855.5684503377,2150345.0359258144
3848041.6381720775,3460543.305949686,4026465.543642061,2312821.952530342,3285912.3439797005
3106843.0716171176,3230533.1340861525,2707748.9353750143,3296080.6936400067,2211916.4544251147
3819745.877298085,3221852.329985663,2791491.3661384257,2419090.058907846,1886753.3066686094
3819204.798878192,2920190.334710025,2806330.1354322196,2389173.800076371,1865943.4548139826
4040283.4495325536,3352648.815362778,2839251.9151587607,2296103.1860973584,3355652.1109116906
3809270.0240434418,3346268.227532811,2843406.830874023,3520552.7741619297,2409630.916363916
4061031.8021265054,3338193.6873923386,2844840.3720333716,2363572.593222363,1853533.7672540755
3805573.947853846,3188760.955922488,2793617.746091315,1985255.388079418,2077833.899115619
3796605.9587790547,4233198.985291522,2684426.4162095245,1963473.5479426682,2286692.9518476473
3329147.3573795743,3193933.415994362,2946824.2822060282,3585315.9834193103,2076294.9776359277
3934736.975158226,3388134.1024857657,2729924.4579775957,2585142.1054446218,2336127.2789409827
3927458.539641605,3373028.3759450503,2787985.41108908,1950288.6206722506,2155487.665052247
3918142.540345147,3323443.9797349777,2782476.9295074744,2219833.5075767958,2135398.088603323
3756827.032234972,4501930.397778775,2695593.821153085,2460617.429325974,3152841.067214007
4896521.252746906,3172921.778020408,3722295.669423877,2218976.3959075115,2012141.944243798
3760955.9214841067,3281793.025194825,2797553.61325204,2513100.4531842847,2329876.259090214
3976464.6846321737,3305138.022934918,2751001.276213971,2304828.638009373,3078933.204250266
3959618.8549559386,3351218.737537719,2675946.1175802858,2283755.721924286,2047317.2721756175
3900913.248383545,3356295.975076443,3977002.910526034,3394779.693351824,2283708.9269712307
3955240.044570972,3358127.985013819,2714331.4827722386,2149556.3916754397,2002957.338578787
3951507.5444222605,3290125.0974465203,2216685.452052664,2266823.7630600994,2294538.268851148
5220864.775418879,3146823.8694395623,2193293.5249899295,2506390.7166759707,2335416.735407814
3737558.5192591315,3473147.4643608197,4013573.3762427545,3305639.4158167727,2009636.6492113275
3853696.608296662,3205209.6355219353,2958467.134015514,2189113.880433594,2329217.4053641846
3879348.2992894654,3283524.608328914,2178552.6277942574,2458894.5074743186,2004892.5304353363
3934123.36782814,3276924.8329382483,2591542.5489801797,2140279.3851779546,2322622.600484972
3939610.4167227712,3162947.5264422344,2817238.8970856373,2469815.6494726273,1675367.9699121236
3941318.024106426,4170072.0818360695,2590672.606011784,2511644.0236036987,1990041.284824744
