file,distance_km,mean_gdi,std_gdi,min_gdi,max_gdi,num_validators
sui.csv,10,100585.54607010099,76168.25296266268,27949.55710408561,272158.48813684954,48
sui.csv,15,100585.54607010099,76168.25296266268,27949.55710408561,272158.48813684954,48
sui.csv,20,96628.69624815542,72865.77308599163,27949.55710408561,266831.9234822349,47
sui.csv,25,96628.69624815542,72865.77308599163,27949.55710408561,266831.9234822349,47
sui.csv,30,90534.20020889632,66590.29577821543,27760.451546113196,251718.2999061708,45
ethernodes.csv,10,3161472.8497950346,1469450.953079727,1876205.5048338065,10841485.468853567,1159
ethernodes.csv,15,2724258.2217878927,1302269.5414912638,1622417.866884983,9567788.316074705,995
ethernodes.csv,20,2366931.4139557756,1185965.0489381994,1391134.1379720564,8695791.51670743,875
ethernodes.csv,25,2096408.3313548525,1082514.5505298993,1249747.8650188076,7757858.616971309,775
ethernodes.csv,30,1977076.4352271247,1020254.2412985349,1172116.116565148,7282121.4531868305,731
solana.csv,10,246608.5059913842,176917.70787935192,115047.73765986615,1503203.3236196185,129
solana.csv,15,237602.00668003122,168627.20539376902,112885.24160288573,1422386.725212541,123
solana.csv,20,230435.52216182483,162087.0966271026,116766.33267367049,1383404.5603336268,118
solana.csv,25,224600.8228414622,162839.56932356424,111064.62392969016,1383404.5603336268,115
solana.csv,30,217274.4467411079,157558.8128814769,111064.62392969016,1347031.4758125483,112
aptos.csv,10,153754.40839027104,72391.70528841313,76272.43980482624,495965.9481519287,47
aptos.csv,15,153754.40839027104,72391.70528841313,76272.43980482624,495965.9481519287,47
aptos.csv,20,152228.77880056453,72066.48187138778,76272.43980482624,489652.1332830868,46
aptos.csv,25,147166.2788942144,69839.55026653646,74549.84080016345,477578.50250343874,44
aptos.csv,30,145345.19640849475,70451.75193948785,67196.16844200582,469249.46671088005,43
ethereum.csv,10,3182355.968539048,2096088.3233793096,1176346.0830673354,14997261.508307664,1440
ethereum.csv,15,2475054.8918349342,1688271.3496879796,915560.8602822219,12038034.651768912,1122
ethereum.csv,20,2306432.072470369,1592998.4899525966,867692.3889343663,11299929.540092746,1046
ethereum.csv,25,1990661.6006138725,1432404.7032464556,730035.3983193586,9938766.126833595,913
ethereum.csv,30,1820170.0985767492,1334321.1874810008,669112.0362140147,9130603.947812857,838
avalanche.csv,10,306799.65313183336,177998.87297089866,146941.586340778,907152.5159186654,108
avalanche.csv,15,299457.97882395843,172641.81274441158,146313.21704178434,892074.0255754493,105
avalanche.csv,20,280223.10161155945,166392.97316860108,133975.01654741995,826681.5860823569,99
avalanche.csv,25,262749.52085537306,156863.10150396463,127870.1891178148,784606.8921715632,94
avalanche.csv,30,256784.41685158332,153492.6152553909,127550.84883585847,776277.8563790045,92
