10km,15km,20km,25km,30km
1503203.3236196185,1422386.725212541,1383404.5603336268,1383404.5603336268,1347031.4758125483
753195.8118504032,727445.594602525,699436.0688278512,671265.5737201711,654806.5610136157
730211.1865728314,702716.6299813965,684476.0779076493,662929.7904476295,662929.7904476295
555494.3881019321,539787.850875327,514941.4095305569,490152.3814702792,483249.13949118083
628294.7984455153,610041.3068880734,596324.869601038,585591.7285473214,580273.4718571203
627658.9385347259,376274.8755331545,361018.830960077,345119.27201063005,340325.0552972389
384507.83425531094,511007.65478688054,501029.40488221165,491405.8642125488,488522.94926135865
529080.9283916248,321105.01691607665,310721.4487793528,299825.6864693628,295360.03432140977
328170.82126884256,311162.80431219976,301050.7797442605,290371.2344956528,286536.1498658019
317456.69421994593,309891.31679891807,299864.70652615384,289270.93985612533,283978.67251069244
316137.661892489,313721.9990934302,301140.4168169721,287908.0377557105,275445.8556166912
319884.27505847876,301823.9495435191,290865.2540874201,279262.3688542376,237031.07907281126
307391.3024392678,283236.7314944658,257881.28992552965,250057.6490225809,259928.8651500587
290425.8806367435,287825.70895610494,276105.5686321941,263739.3917684015,239982.23670457207
293290.83904697094,262327.02104991797,253504.46849552504,244046.16450999046,226568.85568446218
267084.46281890664,272423.6576257962,247233.15494427877,239351.06612936594,282906.3785296259
279515.0464593241,314419.976468474,300886.4096837554,286721.7374724441,570286.2967668913
320372.41274156014,586648.1362395012,579055.2404299751,579055.2404299751,233436.6526897677
615866.5138421279,254189.97929244925,246356.19685973687,237900.94525789126,570948.4869094932
258713.96247437643,586788.9787739251,579314.6282104028,579314.6282104028,244104.32462849785
258437.08463797523,587333.2469902346,579818.0727752328,579818.0727752328,186578.19102778006
616084.0500040912,586151.4771476518,264478.00757702615,256265.22643495162,245295.05105630352
616652.6634882663,289427.2575597442,187942.31007154306,186578.19102778006,497373.69763311447
615421.1966926977,193379.60769729878,265768.0474279618,257472.57112838732,244318.4851275235
296427.74076689256,290760.822396017,264131.4320684784,255918.97649706944,223404.15604977327
296786.43732076394,289046.2335580888,498526.439298305,498526.439298305,221294.58263521915
200054.6517001412,506222.7872027033,264744.0371467912,256482.28970929867,219881.81237654446
297877.08730319457,289662.4257702215,237432.76787306397,227552.92335412645,164482.011467666
296057.6681360731,246704.21638535615,233357.43510405876,226464.87632241612,217840.73027647432
524988.3331721643,239632.83860271284,231703.85881813048,225322.0845205669,278729.3566403376
296765.867395813,239391.1275938731,165454.99628427997,164482.011467666,218783.91069136965
251142.28968191094,237802.75543050503,230127.3202184701,222858.28230396847,218024.23521745385
244654.4693643049,170135.0875826341,297213.65499042184,282675.61915275734,218379.06841987727
244382.12408539755,236864.7417022348,230413.22914411034,224433.05144946426,192947.93328960706
243189.0332261941,311169.5967433698,230345.29419686372,223696.91685541248,276945.83316793304
176027.22210460802,236375.299308467,229651.2871982035,224113.28504252405,149937.02093513953
241432.4430635275,236285.88342461194,229996.80164143286,192947.93328960706,213603.18998013934
325617.373972769,236210.59403129903,230108.75386679603,280950.91391485196,142661.35722915852
242036.40800443618,235608.34260344435,203206.53498366335,149937.02093513953,213810.2027833421
241997.28030045505,235936.16926909034,295393.7716637689,218171.81381135323,219220.6031391002
241963.6258920443,236069.0455990116,151458.1051223644,142661.35722915852,209499.2435836256
241271.5397651741,199371.35146633978,227116.66350339286,218372.69290328462,147981.3415875476
241705.55153458496,309261.82159879466,143687.49441545195,225431.56811741687,212816.36855485485
241899.278566916,155398.862918001,227388.5259625605,214424.63082079924,213746.90650680367
203278.11893088432,235525.35237250943,231554.9426499704,147981.3415875476,162668.47337636392
323646.8119334872,147484.23151246205,222341.37300665493,217472.30251267258,214505.4755003201
159348.4863549272,235870.0183656654,157261.26710729444,219248.26886462155,134334.4186739125
239822.22940757076,237781.34822035953,226427.30912094816,162668.47337636392,140461.24248623944
151692.69990069195,229784.78651170954,225986.31602309036,220333.9992036336,213506.09895286482
240192.98729936848,153442.11212642805,172472.55032507348,134334.4186739125,219064.45432348593
244252.75753104046,234872.53052420515,226658.1909112915,140461.24248623944,245363.73813200687
233961.49599402066,232493.47519952644,135201.64801379413,218887.52704647928,145752.02900476032
233785.35369439772,168456.9454708609,141022.70833584905,231615.64478590345,249395.5114936978
156997.0228823424,232941.3452195777,225987.65420378745,257930.4959233173,213848.7911515552
239260.41967133575,138736.0182994508,239204.80185346474,145752.02900476032,214470.26155417153
237640.45323961714,144637.05006466818,265634.4139550995,262027.23364307248,124993.85725885554
171873.10560989653,232786.76988513983,155209.7423603949,218642.90544442736,124311.00282745657
238661.08721157492,262610.8195494474,269983.1213020527,220630.39840649784,173622.13537370862
142671.46507334124,289109.47790154157,227911.32120787018,124993.85725885554,244170.97992751948
149089.4275280946,151125.23059403466,227186.6081493821,124311.00282745657,116942.53879314844
237693.3443873591,293590.5686426391,125563.19593811022,173622.13537370862,116113.63067883508
278030.01809183275,236711.23310563553,132234.500946998,257023.2062095135,116021.49479768891
304658.5485847755,233730.36339866524,183484.72366909616,116942.53879314844,114772.76778845298
154265.355108333,128753.18521343173,264744.7109019491,116113.63067883508,126181.94354330661
309449.15530772513,128502.14471508662,124813.61656628162,116021.49479768891,245354.46822049507
241436.00728212434,171292.19192262623,123879.4136908243,114772.76778845298,121936.48277434074
239932.36575033,287747.98361530533,122567.0334293953,126181.94354330661,115586.47887687181
132439.41694296917,120853.82084943115,121465.04525393236,258386.73914757016,112792.76410849234
131689.3930333905,119955.30128012881,131970.62770034248,121936.48277434074,131508.1609355556
174037.33651702455,119132.46886935875,131127.02422360002,115586.47887687181,111708.61112243698
303441.53660709225,117955.50259927554,266195.35410466074,112792.76410849234,111104.66599565589
123496.54818297115,128946.10033730883,122980.54887543543,131508.1609355556,111629.3005974748
122634.51448776592,128069.79843007216,121866.23940263057,111708.61112243698,111064.62392969016
122479.78835342744,289005.42843101773,120445.78949476937,111104.66599565589,154236.6421018076
121186.31079732464,118902.0510855755,132991.51954101853,111629.3005974748,119609.14390584765
132836.61773819418,118466.0658297741,118312.07043198736,111064.62392969016,116743.70648659108
131920.32680247037,116460.22738359532,118498.33715947224,154236.6421018076,112227.39067851327
304872.4299145173,128616.94741903608,118156.73263699021,119609.14390584765,127956.12166756745
121216.7268732011,114738.97686963674,117673.3136900254,116743.70648659108,111830.11006034989
121813.18848819015,114592.168622116,163706.17304593005,112227.39067851327,129097.29736614732
118872.73068502892,114601.15105207148,125571.94752114933,127956.12166756745,116357.66374525716
130593.42249961144,114079.89838616493,122828.43704845739,111830.11006034989,114121.70530175116
117767.23772761784,159063.1616589125,118601.36717081301,129097.29736614732,122980.74409012675
