10km,15km,20km,25km,30km
272158.48813684954,272158.48813684954,266831.9234822349,266831.9234822349,251718.2999061708
209422.990738876,209422.990738876,202760.98664921368,202760.98664921368,189590.94678834293
192861.1044473496,192861.1044473496,186194.76012543196,186194.76012543196,173792.80264068817
157774.57841675344,157774.57841675344,157774.57841675344,157774.57841675344,148383.84615813234
224371.8267257984,224371.8267257984,221485.94427930645,221485.94427930645,210049.4315483224
238460.48651171307,238460.48651171307,236353.37305981334,236353.37305981334,225316.32823776978
127928.06382825815,127928.06382825815,127928.06382825815,127928.06382825815,120003.89985037944
237157.51242338907,237157.51242338907,237140.56255575106,237140.56255575106,226501.9663557326
236779.34305029616,236779.34305029616,177624.92376199437,177624.92376199437,159463.08217252107
185948.41621607318,185948.41621607318,226214.5438915916,226214.5438915916,217482.6156563727
227385.32914011797,227385.32914011797,226361.9843395466,226361.9843395466,116039.41737291901
227509.9843420167,227509.9843420167,123430.94215082398,123430.94215082398,100411.6796585241
123430.94215082398,123430.94215082398,106808.09956044682,106808.09956044682,98907.35815088256
106808.09956044682,106808.09956044682,105029.73961259551,105029.73961259551,100485.74524421924
105029.73961259551,105029.73961259551,107133.00739104225,107133.00739104225,98303.70355514668
107133.00739104225,107133.00739104225,104329.6443389075,104329.6443389075,124544.07254397821
104329.6443389075,104329.6443389075,132819.8714806963,132819.8714806963,119403.63974708474
132819.8714806963,132819.8714806963,126986.3442893782,126986.3442893782,108793.83875674222
126986.3442893782,126986.3442893782,115628.49010293445,115628.49010293445,60316.13515340122
115628.49010293445,115628.49010293445,61935.13867280321,61935.13867280321,139527.27230853832
61935.13867280321,61935.13867280321,147852.21056021578,147852.21056021578,95198.13352738007
155636.2206944313,155636.2206944313,100667.32716473259,100667.32716473259,30857.103056631076
100667.32716473259,100667.32716473259,31214.039285919996,31214.039285919996,30253.324083480977
31214.039285919996,31214.039285919996,30572.77486634143,30572.77486634143,30326.386846922698
30572.77486634143,30572.77486634143,30627.394531470218,30627.394531470218,137095.27986295015
30627.394531470218,30627.394531470218,145209.13364905617,145209.13364905617,38527.96780569299
152896.1316287882,152896.1316287882,39295.3412825083,39295.3412825083,45789.915446966865
39295.3412825083,39295.3412825083,46612.03800341985,46612.03800341985,28893.90242499744
46612.03800341985,46612.03800341985,29071.166044175352,29071.166044175352,32530.557704139548
29071.166044175352,29071.166044175352,32825.189296144184,32825.189296144184,28327.66966266639
32825.189296144184,32825.189296144184,28687.991095406196,28687.991095406196,28916.35989173457
28687.991095406196,28687.991095406196,28945.5643911957,28945.5643911957,27760.451546113196
28945.5643911957,28945.5643911957,28725.87701807795,28725.87701807795,28386.83760990139
28725.87701807795,28725.87701807795,27949.55710408561,27949.55710408561,30509.18509980468
27949.55710408561,27949.55710408561,28840.422474457275,28840.422474457275,28198.314305614225
28840.422474457275,28840.422474457275,30741.96273336738,30741.96273336738,33862.23645305294
30741.96273336738,30741.96273336738,28370.31083354135,28370.31083354135,46864.316520081906
28370.31083354135,28370.31083354135,34342.17363194789,34342.17363194789,29687.26976289843
34342.17363194789,34342.17363194789,47941.42736690717,47941.42736690717,41602.48360256508
47941.42736690717,47941.42736690717,29987.521569730503,29987.521569730503,51172.79643422659
29987.521569730503,29987.521569730503,42544.80543154254,42544.80543154254,49806.44771637002
42544.80543154254,42544.80543154254,52584.25494806965,52584.25494806965,50029.07296530443
52584.25494806965,52584.25494806965,51138.79966611862,51138.79966611862,51773.85210423904
51138.79966611862,51138.79966611862,51368.90276513302,51368.90276513302,38315.64436522484
51368.90276513302,51368.90276513302,53205.433297427,53205.433297427,50317.418795506084
53205.433297427,53205.433297427,39487.6727950103,39487.6727950103,
39487.6727950103,39487.6727950103,51966.50986777845,51966.50986777845,
51966.50986777845,51966.50986777845,,,
